outliers,muni_code
3032,860
503,101
51,147
43,151
72,153
1119,155
319,157
42,159
22,161
19,163
307,165
142,167
405,169
109,173
44,175
133,183
44,185
171,187
75,190
457,201
673,210
182,217
342,219
644,223
87,230
243,240
186,250
656,253
193,259
486,260
174,265
421,269
484,270
840,306
283,316
483,320
185,326
712,329
331,330
357,336
273,340
1168,350
663,360
1290,370
714,376
851,390
804,400
551,410
943,420
310,430
495,440
2051,450
1012,461
446,479
461,480
250,482
978,492
441,510
1246,530
946,540
1342,550
57,561
899,563
747,573
1085,575
543,580
796,607
859,615
1818,621
1186,630
496,657
538,661
332,665
740,671
578,706
496,707
195,710
1335,727
1244,730
201,740
476,741
2932,746
459,751
1169,756
747,760
500,766
785,773
1138,779
1414,787
637,791
2150,810
783,813
78,820
945,825
733,840
1292,846
2647,849
1520,851
