muni_code,housing_type,year,avg_sqm_price,count
101,Ejerlejlighed,01,23307.213354758078,5601
101,Ejerlejlighed,02,23371.62243413609,6187
101,Ejerlejlighed,03,23598.438474870018,5770
101,Ejerlejlighed,04,23546.7968503937,5715
101,Ejerlejlighed,05,23132.087367563163,6135
101,Ejerlejlighed,06,23410.45566053373,6033
101,Ejerlejlighed,07,23305.8082010582,6048
101,Ejerlejlighed,08,23585.123058941394,5989
101,Ejerlejlighed,09,22723.282087447107,6381
101,Ejerlejlighed,10,23365.177649006622,6040
101,Ejerlejlighed,11,23723.43096168882,6395
101,Ejerlejlighed,12,23525.11761693411,5858
101,Ejerlejlighed,13,23216.43100189036,6348
101,Ejerlejlighed,14,22557.02838332114,6835
101,Ejerlejlighed,15,23052.63656957929,6180
101,Ejerlejlighed,16,23678.29264799491,6284
101,Ejerlejlighed,17,23215.398245614037,6270
101,Ejerlejlighed,18,23355.18821656051,6280
101,Ejerlejlighed,19,23212.646359365826,6812
101,Ejerlejlighed,20,23505.714511539678,6326
101,Ejerlejlighed,21,23403.704139300444,6547
101,Ejerlejlighed,22,23635.25769986894,6104
101,Ejerlejlighed,23,23234.321056172215,5946
101,Ejerlejlighed,24,22664.775744818653,6176
101,Ejerlejlighed,25,23342.483601180717,6098
101,Ejerlejlighed,26,23090.962436714028,6123
101,Ejerlejlighed,27,22964.39408027274,6453
101,Ejerlejlighed,28,23458.591958536203,6367
101,Ejerlejlighed,29,22750.880671224364,6436
101,Ejerlejlighed,30,22515.335008103728,6170
101,Ejerlejlighed,31,22187.806839433608,3743
101,Rækkehus,01,27957.530303030304,330
101,Rækkehus,02,27586.61971830986,284
101,Rækkehus,03,26509.552631578947,304
101,Rækkehus,04,24963.525157232703,318
101,Rækkehus,05,24950.72347266881,311
101,Rækkehus,06,26257.92,375
101,Rækkehus,07,28012.734375,320
101,Rækkehus,08,26022.02564102564,312
101,Rækkehus,09,25371.021164021164,378
101,Rækkehus,10,25458.654723127034,307
101,Rækkehus,11,26776.73860182371,329
101,Rækkehus,12,25800.774390243903,328
101,Rækkehus,13,24873.156914893618,376
101,Rækkehus,14,24781.002652519895,377
101,Rækkehus,15,27678.355685131195,343
101,Rækkehus,16,27674.231707317074,328
101,Rækkehus,17,25771.110778443115,334
101,Rækkehus,18,26455.214285714286,336
101,Rækkehus,19,27060.98181818182,330
101,Rækkehus,20,26972.58231707317,328
101,Rækkehus,21,25214.327974276526,311
101,Rækkehus,22,27415.320474777447,337
101,Rækkehus,23,25237.287719298245,285
101,Rækkehus,24,25847.867132867133,286
101,Rækkehus,25,25733.448795180724,332
101,Rækkehus,26,25634.701754385966,342
101,Rækkehus,27,26436.56081081081,296
101,Rækkehus,28,25660.279874213837,318
101,Rækkehus,29,24813.26153846154,325
101,Rækkehus,30,24047.3653250774,323
101,Rækkehus,31,23273.536231884056,207
101,Villa,01,20052.49271137026,686
101,Villa,02,19259.795888399414,681
101,Villa,03,19679.96573208723,642
101,Villa,04,20643.50222882615,673
101,Villa,05,19416.68768768769,666
101,Villa,06,19725.98956780924,671
101,Villa,07,20683.45441389291,691
101,Villa,08,19886.116347569954,679
101,Villa,09,18981.15263157895,760
101,Villa,10,21100.590782122905,716
101,Villa,11,19710.38912133891,717
101,Villa,12,20314.92142857143,700
101,Villa,13,19087.71754636234,701
101,Villa,14,19822.28956623681,853
101,Villa,15,20680.54693877551,735
101,Villa,16,19781.5641025641,702
101,Villa,17,19991.54651162791,774
101,Villa,18,20105.053824362607,706
101,Villa,19,19665.014473684212,760
101,Villa,20,19380.14438502674,748
101,Villa,21,19977.623448275863,725
101,Villa,22,20007.109479305742,749
101,Villa,23,19963.493525179856,695
101,Villa,24,18833.552325581397,688
101,Villa,25,19790.437067773168,723
101,Villa,26,18390.693793103448,725
101,Villa,27,19193.977175463624,701
101,Villa,28,18967.08823529412,748
101,Villa,29,18662.35138705416,757
101,Villa,30,18634.947049924358,661
101,Villa,31,18070.984375,448
