Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Rækkehus RRækkehus Norgesvej 4C  9940 Læsø,1.350.000 kr.,21-12-2022Alm. Salg,138 m² 9.783 kr/m²,6,2009,-10%,Aktuel værdi
Villa VVilla Syrenvej 2  9940 Læsø,230.000 kr.,18-12-2022Fam. Salg,76 m² 3.026 kr/m²,3,1812,,Aktuel værdi
Villa VVilla Campingpladsvej 7  9940 Læsø,400.000 kr.,15-12-2022Alm. Salg,132 m² 3.030 kr/m²,4,1935,,Aktuel værdi
Villa VVilla Byrumvej 51  9940 Læsø,650.000 kr.,11-12-2022Alm. Salg,116 m² 5.603 kr/m²,5,1890,,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Vesterø Havnegade 29, 1  9940 Læsø",900.000 kr.,07-12-2022Alm. Salg,60 m² 15.000 kr/m²,3,1931,,Aktuel værdi
Villa VVilla Kongevejen 21  9940 Læsø,1.395.000 kr.,20-11-2022Alm. Salg,78 m² 17.885 kr/m²,3,1850,,Aktuel værdi
Villa VVilla Gammel Havnevej 1  9940 Læsø,1.800.000 kr.,11-11-2022Alm. Salg,84 m² 21.429 kr/m²,4,1727,-20%,Aktuel værdi
Villa VVilla Søndre Kirkevej 1  9940 Læsø,1.250.000 kr.,08-11-2022Alm. Salg,178 m² kr/m²,5,0,-3%,Aktuel værdi
Villa VVilla Søndre Kirkevej 1  9940 Læsø,1.250.000 kr.,08-11-2022Alm. Salg,104 m² 12.019 kr/m²,4,1904,-3%,Aktuel værdi
Villa VVilla Vestre Himmerigvej 7  9940 Læsø,500.000 kr.,24-10-2022Fam. Salg,115 m² 4.348 kr/m²,3,1900,,Aktuel værdi
Villa VVilla Østerbyvejen 22  9940 Læsø,595.000 kr.,20-10-2022Alm. Salg,132 m² 4.508 kr/m²,5,1947,-8%,Aktuel værdi
Villa VVilla Byrum Hovedgade 52  9940 Læsø,735.000 kr.,18-10-2022Alm. Salg,153 m² 4.804 kr/m²,4,1935,-8%,Aktuel værdi
Villa VVilla Ternevej 4  9940 Læsø,650.000 kr.,14-10-2022Alm. Salg,121 m² 5.372 kr/m²,4,1971,-6%,Aktuel værdi
Villa VVilla Plantagevej 55  9940 Læsø,1.849.000 kr.,12-10-2022Alm. Salg,223 m² 8.291 kr/m²,4,1900,,Aktuel værdi
Villa VVilla Flarumvej 13  9940 Læsø,1.150.000 kr.,06-10-2022Alm. Salg,91 m² 12.637 kr/m²,4,1979,,Aktuel værdi
Villa VVilla Markstien 7  9940 Læsø,2.295.000 kr.,27-09-2022Alm. Salg,165 m² 13.909 kr/m²,6,2007,,Aktuel værdi
Villa VVilla Vesterø Havnegade 36  9940 Læsø,1.220.000 kr.,26-09-2022Alm. Salg,150 m² 8.133 kr/m²,6,1917,,Aktuel værdi
Villa VVilla Elsevej 3  9940 Læsø,1.700.000 kr.,14-09-2022Andet,183 m² 9.290 kr/m²,5,1974,,Aktuel værdi
Villa VVilla Doktorvejen 7  9940 Læsø,1.400.000 kr.,13-09-2022Alm. Salg,176 m² 7.955 kr/m²,7,1976,-6%,Aktuel værdi
Villa VVilla Knæet 5  9940 Læsø,280.000 kr.,13-09-2022Alm. Salg,152 m² 1.842 kr/m²,6,1923,,Aktuel værdi
Villa VVilla Doktorvejen 7B  9940 Læsø,1.400.000 kr.,13-09-2022Alm. Salg,135 m² 10.370 kr/m²,5,1992,-6%,Aktuel værdi
Villa VVilla Østerby Havnegade 33  9940 Læsø,488.500 kr.,04-09-2022Fam. Salg,175 m² 2.791 kr/m²,5,1959,,Aktuel værdi
Villa VVilla Præstevejen 20  9940 Læsø,1.595.000 kr.,31-08-2022Alm. Salg,150 m² 10.633 kr/m²,5,1916,,Aktuel værdi
Villa VVilla Vesterø Havnegade 86  9940 Læsø,320.000 kr.,31-08-2022Fam. Salg,153 m² 2.092 kr/m²,6,1938,,Aktuel værdi
Villa VVilla Mågevej 14  9940 Læsø,1.100.000 kr.,22-08-2022Alm. Salg,156 m² 7.051 kr/m²,6,1976,-21%,Aktuel værdi
Villa VVilla Fyrrestien 1A  9940 Læsø,1.695.000 kr.,19-08-2022Alm. Salg,125 m² 13.560 kr/m²,5,2006,,Aktuel værdi
Villa VVilla Engblommevej 3  9940 Læsø,3.000.000 kr.,12-08-2022Alm. Salg,122 m² 24.590 kr/m²,5,2008,,Aktuel værdi
Villa VVilla Hejrevej 1  9940 Læsø,1.100.000 kr.,10-08-2022Alm. Salg,173 m² 6.358 kr/m²,5,1962,-15%,Aktuel værdi
Villa VVilla Juelsmindevej 4  9940 Læsø,308.500 kr.,08-08-2022Fam. Salg,120 m² 2.571 kr/m²,6,1856,,Aktuel værdi
Rækkehus RRækkehus Svalevej 16A  9940 Læsø,1.225.000 kr.,06-08-2022Fam. Salg,47 m² 26.064 kr/m²,2,1900,,Aktuel værdi
Rækkehus RRækkehus Svalevej 16B  9940 Læsø,1.225.000 kr.,06-08-2022Fam. Salg,81 m² 15.123 kr/m²,4,1900,,Aktuel værdi
Villa VVilla Vesterø Havnegade 2  9940 Læsø,2.500.000 kr.,03-08-2022Alm. Salg,135 m² 18.519 kr/m²,5,1931,-14%,Aktuel værdi
Villa VVilla Knæet 14  9940 Læsø,600.000 kr.,03-08-2022Alm. Salg,120 m² 5.000 kr/m²,4,1900,,Aktuel værdi
Villa VVilla Emilievej 2  9940 Læsø,780.000 kr.,04-07-2022Alm. Salg,110 m² 7.091 kr/m²,4,1974,,Aktuel værdi
Villa VVilla Linievejen 2  9940 Læsø,425.000 kr.,26-06-2022Andet,237 m² 1.793 kr/m²,6,1972,,Aktuel værdi
Villa VVilla Byrum Hovedgade 81  9940 Læsø,1.200.000 kr.,19-06-2022Andet,213 m² 5.634 kr/m²,10,1577,,Aktuel værdi
Villa VVilla Østerby Havnegade 58  9940 Læsø,775.000 kr.,10-06-2022Alm. Salg,152 m² 5.099 kr/m²,6,1960,,Aktuel værdi
Villa VVilla Vesterø Havnegade 55  9940 Læsø,895.000 kr.,09-06-2022Alm. Salg,112 m² 7.991 kr/m²,4,1948,,Aktuel værdi
Villa VVilla Rylevej 6  9940 Læsø,1.800.000 kr.,06-06-2022Alm. Salg,124 m² 14.516 kr/m²,3,1939,,Aktuel værdi
Villa VVilla Mellemvej 11  9940 Læsø,2.100.000 kr.,06-06-2022Alm. Salg,146 m² 14.384 kr/m²,5,2008,,Aktuel værdi
Villa VVilla Gammel Kirkevej 35  9940 Læsø,680.000 kr.,05-06-2022Alm. Salg,199 m² 3.417 kr/m²,7,1978,-2%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Flarumvej 26, st. th  9940 Læsø",750.000 kr.,02-06-2022Alm. Salg,79 m² 9.494 kr/m²,3,1929,-6%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Flarumvej 26, st. tv  9940 Læsø",750.000 kr.,02-06-2022Alm. Salg,79 m² 9.494 kr/m²,3,1929,-6%,Aktuel værdi
Villa VVilla Plantagevej 47  9940 Læsø,800.000 kr.,19-05-2022Andet,112 m² 7.143 kr/m²,4,1937,,Aktuel værdi
Villa VVilla Vandrehjemsvej 1  9940 Læsø,550.000 kr.,16-05-2022Fam. Salg,82 m² 6.707 kr/m²,5,1954,,Aktuel værdi
Villa VVilla Ærøvej 6  9940 Læsø,625.000 kr.,08-05-2022Auktion,172 m² 3.634 kr/m²,5,1965,-37%,Aktuel værdi
Villa VVilla Mellemvej 11  9940 Læsø,900.000 kr.,05-05-2022Andet,146 m² 6.164 kr/m²,5,2008,,Aktuel værdi
Villa VVilla Byrum Hovedgade 59  9940 Læsø,770.000 kr.,23-04-2022Alm. Salg,181 m² 4.254 kr/m²,5,1930,-1%,Aktuel værdi
Villa VVilla Bangsbogårdvejen 1  9940 Læsø,600.000 kr.,18-04-2022Alm. Salg,98 m² 6.122 kr/m²,2,1830,-20%,Aktuel værdi
Villa VVilla Østerby Havnegade 26  9940 Læsø,950.000 kr.,09-02-2022Alm. Salg,135 m² 7.037 kr/m²,5,1930,-20%,Aktuel værdi
Villa VVilla Byrum Hovedgade 5  9940 Læsø,775.000 kr.,07-02-2022Alm. Salg,200 m² 3.875 kr/m²,6,1870,-9%,Aktuel værdi
Villa VVilla Vandrehjemsvej 4  9940 Læsø,1.720.000 kr.,02-02-2022Alm. Salg,169 m² 10.178 kr/m²,4,1917,-7%,Aktuel værdi
Villa VVilla Byrum Hovedgade 63  9940 Læsø,900.000 kr.,26-01-2022Alm. Salg,160 m² 5.625 kr/m²,6,1926,-3%,Aktuel værdi
Villa VVilla Stoklundvejen 10  9940 Læsø,1.050.000 kr.,17-01-2022Alm. Salg,153 m² 6.863 kr/m²,7,1938,-4%,Aktuel værdi
Villa VVilla Vesterø Havnegade 32  9940 Læsø,1.100.000 kr.,16-01-2022Alm. Salg,119 m² 9.244 kr/m²,4,1958,,Aktuel værdi
Villa VVilla Byrum Hovedgade 113  9940 Læsø,799.000 kr.,15-01-2022Alm. Salg,137 m² 5.832 kr/m²,4,1938,,Aktuel værdi
Villa VVilla Flarumvej 8  9940 Læsø,820.000 kr.,11-01-2022Alm. Salg,109 m² 7.523 kr/m²,3,1972,,Aktuel værdi
"Rækkehus RRækkehus Peter Danielsvej 10, st. th  9940 Læsø",1.350.000 kr.,28-12-2021Alm. Salg,83 m² 16.265 kr/m²,3,1920,-18%,Aktuel værdi
"Rækkehus RRækkehus Peter Danielsvej 10, st. tv  9940 Læsø",1.350.000 kr.,28-12-2021Alm. Salg,160 m² 8.438 kr/m²,6,1920,-18%,Aktuel værdi
Villa VVilla Otto Nielsensvej 6  9940 Læsø,250.000 kr.,28-12-2021Fam. Salg,50 m² 5.000 kr/m²,2,1890,,Aktuel værdi
Villa VVilla Vodbindervej 2  9940 Læsø,750.000 kr.,13-12-2021Alm. Salg,182 m² 4.121 kr/m²,8,1970,,Aktuel værdi
Villa VVilla Tårnvej 17  9940 Læsø,700.000 kr.,10-12-2021Andet,205 m² 3.415 kr/m²,6,1965,-53%,Aktuel værdi
Villa VVilla Elmevej 4  9940 Læsø,565.000 kr.,25-11-2021Alm. Salg,133 m² 4.248 kr/m²,3,1974,,Aktuel værdi
Villa VVilla Ærøvej 1  9940 Læsø,150.000 kr.,17-11-2021Alm. Salg,121 m² 1.240 kr/m²,5,2006,,Aktuel værdi
Villa VVilla Flarumvej 39  9940 Læsø,700.000 kr.,15-11-2021Alm. Salg,54 m² 12.963 kr/m²,3,1954,,Aktuel værdi
Villa VVilla Storhavevej 7  9940 Læsø,1.500.000 kr.,10-11-2021Alm. Salg,204 m² 7.353 kr/m²,6,1908,,Aktuel værdi
Villa VVilla Storhavevej 7  9940 Læsø,1.500.000 kr.,10-11-2021Alm. Salg,56 m² 26.786 kr/m²,5,1908,,Aktuel værdi
Villa VVilla Ternevej 5A  9940 Læsø,1.170.000 kr.,10-11-2021Alm. Salg,107 m² 10.935 kr/m²,5,1930,-10%,Aktuel værdi
Villa VVilla Østerby Havnegade 29  9940 Læsø,850.000 kr.,19-10-2021Alm. Salg,135 m² 6.296 kr/m²,6,1927,,Aktuel værdi
Villa VVilla Søndergårdsvej 10  9940 Læsø,950.000 kr.,18-10-2021Alm. Salg,188 m² 5.053 kr/m²,5,1677,-17%,Aktuel værdi
Villa VVilla Vesterø Havnegade 90  9940 Læsø,440.000 kr.,17-10-2021Alm. Salg,112 m² 3.929 kr/m²,5,1933,,Aktuel værdi
Villa VVilla Plantagevej 14  9940 Læsø,1.450.000 kr.,11-10-2021Alm. Salg,116 m² 12.500 kr/m²,6,1925,-2%,Aktuel værdi
Villa VVilla Holmbækvejen 1  9940 Læsø,520.000 kr.,09-10-2021Alm. Salg,54 m² 9.630 kr/m²,3,1900,,Aktuel værdi
Villa VVilla Svanevej 3  9940 Læsø,335.000 kr.,07-10-2021Fam. Salg,215 m² 1.558 kr/m²,5,2023,,Aktuel værdi
Villa VVilla Gammel Østerbyvej 10  9940 Læsø,450.000 kr.,30-09-2021Alm. Salg,150 m² 3.000 kr/m²,5,1926,,Aktuel værdi
Villa VVilla Ydegårdsvej 2  9940 Læsø,615.000 kr.,23-09-2021Alm. Salg,127 m² 4.843 kr/m²,4,1877,-12%,Aktuel værdi
Villa VVilla På Remmerne 8  9940 Læsø,347.739 kr.,22-09-2021Fam. Salg,130 m² 2.675 kr/m²,4,1875,,Aktuel værdi
Villa VVilla Tyvhulvejen 3  9940 Læsø,1.400.000 kr.,09-09-2021Alm. Salg,190 m² 7.368 kr/m²,6,1891,-6%,Aktuel værdi
Rækkehus RRækkehus Vesterø Havnegade 39  9940 Læsø,1.100.000 kr.,03-09-2021Alm. Salg,47 m² 23.404 kr/m²,2,1877,-8%,Aktuel værdi
"Rækkehus RRækkehus Vesterø Havnegade 39, st. tv  9940 Læsø",1.100.000 kr.,03-09-2021Alm. Salg,70 m² 15.714 kr/m²,2,1877,-8%,Aktuel værdi
"Rækkehus RRækkehus Vesterø Havnegade 39, st. th  9940 Læsø",1.100.000 kr.,03-09-2021Alm. Salg,129 m² 8.527 kr/m²,3,1877,-8%,Aktuel værdi
Villa VVilla Byrum Hovedgade 81  9940 Læsø,709.000 kr.,31-08-2021Andet,213 m² 3.329 kr/m²,10,1577,,Aktuel værdi
Villa VVilla Vesterø Havnegade 68  9940 Læsø,775.000 kr.,29-08-2021Alm. Salg,136 m² 5.699 kr/m²,5,1966,,Aktuel værdi
Villa VVilla Byrum Hovedgade 32  9940 Læsø,1.150.000 kr.,28-08-2021Alm. Salg,170 m² 6.765 kr/m²,5,1967,,Aktuel værdi
Villa VVilla Præstevejen 10  9940 Læsø,323.000 kr.,25-08-2021Fam. Salg,76 m² 4.250 kr/m²,3,1986,,Aktuel værdi
Villa VVilla Hundetudevej 4  9940 Læsø,630.000 kr.,23-08-2021Alm. Salg,90 m² 7.000 kr/m²,4,1954,-9%,Aktuel værdi
Villa VVilla Agersigen 9  9940 Læsø,95.000 kr.,23-08-2021Alm. Salg,256 m² 371 kr/m²,9,1900,,Aktuel værdi
Villa VVilla Museumsvej 8B  9940 Læsø,700.000 kr.,04-08-2021Alm. Salg,108 m² 6.481 kr/m²,4,1973,,Aktuel værdi
Villa VVilla Byrum Hovedgade 78  9940 Læsø,1.255.000 kr.,03-08-2021Alm. Salg,189 m² 6.640 kr/m²,6,1914,-3%,Aktuel værdi
Villa VVilla Høyersvej 4  9940 Læsø,500.000 kr.,28-07-2021Fam. Salg,155 m² 3.226 kr/m²,4,1936,,Aktuel værdi
Villa VVilla Doktorvejen 64  9940 Læsø,795.000 kr.,19-07-2021Alm. Salg,183 m² 4.344 kr/m²,4,1940,,Aktuel værdi
Villa VVilla Ærøvej 8A  9940 Læsø,1.350.000 kr.,16-07-2021Alm. Salg,137 m² 9.854 kr/m²,8,1975,,Aktuel værdi
Villa VVilla Birkealle 10  9940 Læsø,800.000 kr.,16-07-2021Alm. Salg,115 m² 6.957 kr/m²,4,1986,,Aktuel værdi
Villa VVilla Birkealle 5  9940 Læsø,625.000 kr.,14-07-2021Alm. Salg,90 m² 6.944 kr/m²,3,1965,-7%,Aktuel værdi
Villa VVilla Hundetudevej 2  9940 Læsø,1.930.000 kr.,08-07-2021Alm. Salg,182 m² 10.604 kr/m²,7,1951,,Aktuel værdi
Villa VVilla Ternevej 16  9940 Læsø,225.000 kr.,04-07-2021Alm. Salg,285 m² 789 kr/m²,7,0,-55%,Aktuel værdi
Villa VVilla Vibevej 12  9940 Læsø,975.000 kr.,02-07-2021Alm. Salg,157 m² 6.210 kr/m²,5,1985,-11%,Aktuel værdi
Villa VVilla N P Nielsensvej 18  9940 Læsø,725.000 kr.,01-07-2021Alm. Salg,114 m² 6.360 kr/m²,3,1978,12%,Aktuel værdi
Villa VVilla Rullegårdsvej 12  9940 Læsø,595.000 kr.,28-06-2021Alm. Salg,78 m² 7.628 kr/m²,3,1700,-8%,Aktuel værdi
Villa VVilla Vesterø Havnegade 4  9940 Læsø,3.506.000 kr.,22-06-2021Alm. Salg,206 m² 17.019 kr/m²,5,1921,,Aktuel værdi
Villa VVilla Mågevej 11  9940 Læsø,1.200.000 kr.,20-06-2021Alm. Salg,70 m² 17.143 kr/m²,4,1971,-8%,Aktuel værdi
