municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square_meters,square_meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
376,Villa,Asgaardsvej 4,4873, Væggerløse,525000 ,30-12-2022,Alm. Salg,202,2599.0,7,1984,
376,Villa,Nykøbingvej 45,4840, Nørre Alslev,300000 ,27-12-2022,Alm. Salg,118,2542.0,4,1898,
376,Villa,Bygaden 33,4800, Nykøbing F,555000 ,27-12-2022,Fam. Salg,72,7708.0,5,1847,
376,Rækkehus,Tværgade 1,4874, Gedser,125000 ,26-12-2022,Alm. Salg,62,2016.0,3,1900,
376,Villa,Brovænget 24,4840, Nørre Alslev,400000 ,25-12-2022,Alm. Salg,77,5195.0,4,1950,-10%
376,Villa,Lysbovej 2,4800, Nykøbing F,1100000 ,22-12-2022,Alm. Salg,198,5556.0,5,1975,-20%
376,Villa,Grænge Skovvej 113,4891, Toreby L,390000 ,22-12-2022,Andet,91,4286.0,4,1910,
376,Villa,Gåbensevej 21,4840, Nørre Alslev,480000 ,22-12-2022,Alm. Salg,330,1218.0,12,1894,-19%
376,Rækkehus,Monradsgade 6,4800, Nykøbing F,1000000 ,21-12-2022,Alm. Salg,89,11236.0,2,1896,
376,Villa,Maribovej 141,4990, Sakskøbing,460000 ,21-12-2022,Alm. Salg,224,2054.0,8,1944,-16%
376,Villa,Listrupvej 25,4800, Nykøbing F,1050000 ,21-12-2022,Alm. Salg,215,4884.0,4,1910,-25%
376,Villa,Sortsøvej 8,4850, Stubbekøbing,237500 ,20-12-2022,Alm. Salg,212,1120.0,5,1918,
376,Villa,Østervej 42,4840, Nørre Alslev,355000 ,20-12-2022,Alm. Salg,125,2840.0,3,1966,-5%
376,Villa,Kongsnæstoften 2,4850, Stubbekøbing,1045000 ,19-12-2022,Alm. Salg,139,7518.0,4,1974,
376,Rækkehus,Kirkegaardsvej 5,4800, Nykøbing F,1000000 ,18-12-2022,Alm. Salg,73,13699.0,4,1890,
376,Villa,Troldemosevejen 3,4800, Nykøbing F,275000 ,18-12-2022,Alm. Salg,72,3819.0,3,1922,
376,Villa,Kirkevej 30,4872, Idestrup,700000 ,18-12-2022,Alm. Salg,112,6250.0,4,1960,-12%
376,Villa,Åvej 12,4990, Sakskøbing,225000 ,17-12-2022,Alm. Salg,91,2473.0,4,1910,-10%
376,Rækkehus,Kystparken 42,4800, Nykøbing F,1345000 ,15-12-2022,Alm. Salg,104,12933.0,4,1980,
376,Villa,Dalmosevej 9,4880, Nysted,705000 ,15-12-2022,Alm. Salg,148,4764.0,4,1962,-5%
376,Villa,Vigvej 100,4840, Nørre Alslev,100000 ,15-12-2022,Alm. Salg,70,1429.0,3,1947,
376,Villa,Bymarken 10,4891, Toreby L,405000 ,15-12-2022,Fam. Salg,80,5063.0,5,1914,
376,Villa,Monradsgade 20,4800, Nykøbing F,700000 ,15-12-2022,Alm. Salg,146,4795.0,4,1900,-12%
376,Villa,Langgade 69,4874, Gedser,311000 ,15-12-2022,Alm. Salg,160,1944.0,5,1910,
376,Rækkehus,Slotsgade 1,4880, Nysted,2000000 ,14-12-2022,Alm. Salg,228,8772.0,4,1986,
376,Villa,Hesnæsvej 53,4871, Horbelev,1320000 ,14-12-2022,Alm. Salg,100,13200.0,5,1956,-5%
376,Rækkehus,Poppelvænget 6,4990, Sakskøbing,400000 ,13-12-2022,Alm. Salg,71,5634.0,3,1971,
376,Villa,Bogfinkevej 1,4840, Nørre Alslev,1250000 ,13-12-2022,Alm. Salg,228,5482.0,7,1974,-10%
376,Villa,Stubbekøbingvej 205,4800, Nykøbing F,725000 ,13-12-2022,Auktion,110,6591.0,5,1906,
376,Villa,Kippingevej 14,4840, Nørre Alslev,670000 ,13-12-2022,Alm. Salg,111,6036.0,4,1887,-4%
376,Rækkehus,Thorsensvej 64,4800, Nykøbing F,1700000 ,12-12-2022,Alm. Salg,116,14655.0,5,1914,-5%
376,Rækkehus,Orevej 85,4850, Stubbekøbing,265000 ,12-12-2022,Alm. Salg,86,3081.0,3,1867,-24%
376,Villa,Gåbense Strandvej 13,4840, Nørre Alslev,490000 ,12-12-2022,Andet,156,3141.0,5,1927,
376,Villa,Høgevej 5,4892, Kettinge,770000 ,11-12-2022,Alm. Salg,124,6210.0,4,1973,-3%
376,Rækkehus,Karlsfeltvej 7,4850, Stubbekøbing,525000 ,08-12-2022,Alm. Salg,81,6481.0,3,1877,-9%
376,Villa,Gl. Landevej 7,4874, Gedser,375000 ,08-12-2022,Alm. Salg,131,2863.0,5,1923,-24%
376,Villa,Søndergade 21,4863, Eskilstrup,853000 ,08-12-2022,Alm. Salg,110,7755.0,4,1908,0%
376,Villa,Orehoved Langgade 1,4840, Nørre Alslev,1395000 ,07-12-2022,Alm. Salg,252,5536.0,8,1902,
376,Villa,Sundby Birkevej 12,4800, Nykøbing F,1115000 ,07-12-2022,Alm. Salg,104,10721.0,4,1944,-7%
376,Villa,Lyttehøjvej 24,4840, Nørre Alslev,1225000 ,07-12-2022,Alm. Salg,96,12760.0,3,1926,-4%
376,Rækkehus,Grønnegade 44,4850, Stubbekøbing,1595000 ,06-12-2022,Alm. Salg,208,7668.0,5,1890,
376,Rækkehus,Langgade 6C,4874, Gedser,400000 ,06-12-2022,Alm. Salg,105,3810.0,2,1946,-16%
376,Villa,Bregnevej 3,4800, Nykøbing F,1150000 ,06-12-2022,Alm. Salg,146,7877.0,4,1969,-8%
376,Villa,Gaabensevej 105,4800, Nykøbing F,2550000 ,06-12-2022,Alm. Salg,190,13421.0,5,1916,-5%
376,Villa,Fruegade 13,4872, Idestrup,286054 ,06-12-2022,Alm. Salg,99,2889.0,4,1917,
376,Villa,Bakken 4,4874, Gedser,895000 ,05-12-2022,Alm. Salg,101,8861.0,4,1877,-10%
376,Villa,Grænge Skovvej 53,4891, Toreby L,400000 ,05-12-2022,Alm. Salg,111,3604.0,3,1903,-14%
376,Villa,Sløssevej 10,4894, Øster Ulslev,225000 ,05-12-2022,Alm. Salg,115,1957.0,4,1877,-25%
376,Villa,Lermosevej 15,4800, Nykøbing F,900000 ,05-12-2022,Alm. Salg,122,7377.0,4,1977,-10%
376,Villa,Skerne Skovvej 5,4840, Nørre Alslev,1405000 ,05-12-2022,Alm. Salg,120,11708.0,8,1880,-17%
376,Villa,Sortsøvej 60,4850, Stubbekøbing,995000 ,05-12-2022,Alm. Salg,98,10153.0,4,1936,
376,Rækkehus,Lindevej 42,4990, Sakskøbing,195000 ,04-12-2022,Alm. Salg,81,2407.0,4,1943,
376,Villa,Hans Ditlevsensgade 46,4800, Nykøbing F,1098000 ,04-12-2022,Alm. Salg,106,10358.0,4,1961,
376,Villa,Hamborgskovvej 37,4800, Nykøbing F,1000000 ,04-12-2022,Alm. Salg,92,10870.0,2,1958,
376,Villa,Norgesvej 43,4800, Nykøbing F,1275000 ,04-12-2022,Alm. Salg,120,10625.0,3,1951,
376,Villa,Engmosevej 3,4800, Nykøbing F,775000 ,01-12-2022,Alm. Salg,115,6739.0,4,1965,
376,Villa,Systofte Skolevej 8,4800, Nykøbing F,875000 ,30-11-2022,Alm. Salg,200,4375.0,8,1967,
376,Villa,Birkevej 8,4874, Gedser,550000 ,30-11-2022,Alm. Salg,110,5000.0,4,1965,-8%
376,Villa,Grønsundsvej 260,4800, Nykøbing F,250000 ,29-11-2022,Alm. Salg,243,1029.0,6,2015,
376,Villa,Storstrømsvej 120,4840, Nørre Alslev,350000 ,29-11-2022,Alm. Salg,127,2756.0,4,1939,
376,Villa,Nykøbingvej 45,4840, Nørre Alslev,300000 ,29-11-2022,Alm. Salg,118,2542.0,4,1898,
376,Villa,Hjørnegårdsvej 4,4874, Gedser,350000 ,29-11-2022,Alm. Salg,136,2574.0,4,1974,
376,Villa,Hamborgskovvej 34,4800, Nykøbing F,1050000 ,28-11-2022,Alm. Salg,169,6213.0,5,1960,
376,Villa,Hesnæsvej 27,4871, Horbelev,1220000 ,28-11-2022,Alm. Salg,204,5980.0,3,1901,-6%
376,Villa,Spurvevej 13,4840, Nørre Alslev,1975000 ,28-11-2022,Alm. Salg,143,13811.0,4,2002,-1%
376,Villa,Alslevvej 8,4850, Stubbekøbing,425000 ,28-11-2022,Alm. Salg,70,6071.0,3,1917,-14%
376,Villa,Drosselvej 4,4880, Nysted,375000 ,27-11-2022,Fam. Salg,130,2885.0,4,1973,
376,Villa,Solbakken 6,4800, Nykøbing F,595000 ,27-11-2022,Alm. Salg,128,4648.0,4,1947,
376,Villa,Viborgvej 15A,4800, Nykøbing F,1750000 ,26-11-2022,Alm. Salg,171,10234.0,5,1963,
376,Villa,Storstrømsvej 80,4840, Nørre Alslev,450000 ,26-11-2022,Alm. Salg,95,4737.0,3,1887,
376,Villa,Italiensvej 61,4800, Nykøbing F,2000000 ,25-11-2022,Alm. Salg,156,12821.0,3,1970,-7%
376,Ejerlejlighed,"Fjordvej 1F, 1. th",4800, Nykøbing F,1495000 ,24-11-2022,Alm. Salg,114,13114.0,4,1947,
376,Rækkehus,Stubbekøbingvej 27,4800, Nykøbing F,1325000 ,22-11-2022,Alm. Salg,101,13119.0,3,1873,
376,Villa,Ny Kirstinebergvej 6,4800, Nykøbing F,1150000 ,22-11-2022,Alm. Salg,118,9746.0,4,1933,-11%
376,Villa,Egevej 10,4862, Guldborg,500000 ,22-11-2022,Alm. Salg,138,3623.0,3,1985,-16%
376,Rækkehus,Grønnegade 17,4850, Stubbekøbing,1085000 ,21-11-2022,Alm. Salg,140,7750.0,5,1827,-6%
376,Villa,Sakskøbingvej 119,4880, Nysted,190000 ,21-11-2022,Alm. Salg,90,2111.0,3,1900,9%
376,Villa,Idalundvej 1,4990, Sakskøbing,975000 ,21-11-2022,Alm. Salg,125,7800.0,3,1906,-2%
