outliers,muni_code
11430,860
1133,101
864,147
65,151
128,153
1872,155
425,157
114,159
22,161
20,163
325,165
499,167
593,169
688,173
45,175
179,183
196,185
170,187
96,190
563,201
889,210
395,217
415,219
816,223
90,230
358,240
188,250
687,253
354,259
870,260
177,265
521,269
549,270
1113,306
518,316
693,320
393,326
2360,329
348,330
503,336
276,340
1279,350
1343,360
1651,370
954,376
1096,390
993,400
681,410
1043,420
482,430
782,440
3530,450
1249,461
496,479
479,480
265,482
1445,492
571,510
1635,530
1221,540
2789,550
58,561
1100,563
879,573
1370,575
1622,580
1799,607
1818,615
3663,621
1464,630
858,657
684,661
459,665
824,671
944,706
580,707
316,710
2946,727
1869,730
216,740
733,741
6063,746
596,751
1323,756
787,760
583,766
1268,773
1489,779
2030,787
913,791
2527,810
963,813
82,820
984,825
1013,840
1377,846
6219,849
1838,851
