municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square_meters,square_meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
779,Villa,Bostrupvej 5,7870, Roslev,2500000 ,28-12-2022,Andet,324,7716,11,1976,0%
779,Rækkehus,Hovedgaden 6,7870, Roslev,425000 ,27-12-2022,Alm. Salg,122,3484,3,1885,
779,Villa,Bette Jenses Vej 2,7884, Fur,310865 ,26-12-2022,Alm. Salg,100,3109,4,1943,
779,Villa,Rugbakken 4,7840, Højslev,1100000 ,22-12-2022,Alm. Salg,134,8209,4,1968,-8%
779,Villa,Brøndumvej 49,7800, Skive,250000 ,22-12-2022,Alm. Salg,124,2016,4,1960,-49%
779,Ejerlejlighed,"Østergade 4B, 2. 2",7800, Skive,850000 ,21-12-2022,Alm. Salg,95,8947,2,1919,-5%
779,Villa,Brønddal 1,7860, Spøttrup,9605000 ,21-12-2022,Fam. Salg,187,51364,7,1927,
779,Villa,Boagervej 2,7884, Fur,300000 ,21-12-2022,Alm. Salg,124,2419,3,1902,
779,Villa,Bystedvej 28,7870, Roslev,80000 ,21-12-2022,Alm. Salg,111,721,3,1932,-27%
779,Villa,Viborgvej 73,7800, Skive,425000 ,21-12-2022,Alm. Salg,122,3484,4,1939,-12%
779,Villa,V. Lybyvej 19,7800, Skive,160000 ,21-12-2022,Alm. Salg,125,1280,4,1956,
779,Villa,Ørumvej 75,7840, Højslev,572500 ,20-12-2022,Alm. Salg,127,4508,5,1913,
779,Villa,Alsevej 6,7870, Roslev,250000 ,20-12-2022,Auktion,120,2083,6,1942,
779,Villa,Lyngtoften 65,7800, Skive,400000 ,20-12-2022,Alm. Salg,83,4819,4,1960,-20%
779,Villa,Ginnerupvej 11,7860, Spøttrup,47500 ,20-12-2022,Alm. Salg,75,633,3,1902,
779,Villa,Ahornvænget 67B,7800, Skive,2270000 ,20-12-2022,Alm. Salg,241,9419,6,1970,
779,Villa,Pilevænget 57,7800, Skive,1700000 ,19-12-2022,Alm. Salg,151,11258,4,1976,-5%
779,Villa,Nøddevej 29,7800, Skive,2300000 ,18-12-2022,Alm. Salg,166,13855,5,1978,-4%
779,Villa,Niels Juels Vej 6,7870, Roslev,474500 ,18-12-2022,Fam. Salg,205,2315,7,1973,
779,Villa,Anders Sørensens Vej 15,7884, Fur,25000 ,17-12-2022,Alm. Salg,183,137,5,1913,
779,Villa,Udmarken 5,7860, Spøttrup,500000 ,16-12-2022,Alm. Salg,53,9434,1,1880,-8%
779,Villa,Lyby Strandvej 37,7870, Roslev,1100000 ,15-12-2022,Fam. Salg,161,6832,5,1940,
779,Villa,Åstedvej 30,7870, Roslev,350000 ,15-12-2022,Alm. Salg,123,2846,4,1962,-29%
779,Villa,Vadumvej 14,7860, Spøttrup,109095 ,14-12-2022,Andet,169,646,5,2017,
779,Villa,Petravej 77A,7800, Skive,1575000 ,14-12-2022,Alm. Salg,143,11014,7,1985,-7%
779,Villa,Borgergade 8,7800, Skive,775000 ,13-12-2022,Alm. Salg,76,10197,2,1904,
779,Villa,Østergade 24A,7870, Roslev,261500 ,13-12-2022,Alm. Salg,77,3396,4,1964,
779,Villa,Agertoften 5,7860, Spøttrup,1195000 ,13-12-2022,Alm. Salg,170,7029,6,1973,
779,Villa,Ydunsvej 45,7800, Skive,1500000 ,13-12-2022,Andet,189,7937,5,2008,
779,Villa,Ydunsvej 60,7800, Skive,492123 ,13-12-2022,Alm. Salg,147,3348,4,0,
779,Villa,Granvænget 43,7800, Skive,875000 ,08-12-2022,Alm. Salg,135,6481,4,1968,-12%
779,Villa,Torvet 4,7860, Spøttrup,145000 ,08-12-2022,Alm. Salg,150,967,6,1892,
779,Villa,Østervang 28,7800, Skive,600000 ,07-12-2022,Alm. Salg,121,4959,4,1969,-25%
779,Villa,Vesterbrogade 2,7860, Spøttrup,1250000 ,06-12-2022,Alm. Salg,180,6944,3,1934,-3%
779,Villa,Irisvej 7,7870, Roslev,220000 ,06-12-2022,Alm. Salg,103,2136,5,1967,-20%
779,Villa,Kærvænget 36,7800, Skive,540000 ,04-12-2022,Alm. Salg,144,3750,3,1965,
779,Villa,Lyngtoften 6,7860, Spøttrup,200000 ,04-12-2022,Fam. Salg,92,2174,4,1923,
779,Villa,Sundvej 8,7840, Højslev,400000 ,01-12-2022,Alm. Salg,122,3279,6,1957,
779,Rækkehus,Hestbækvej 1,7870, Roslev,35000 ,30-11-2022,Alm. Salg,78,449,3,1935,
