Kommunenavn,muni_code,old_muni_code
Albertslund,165,
Allerød,201,
Assens,420,"421, 433, 437, 485, 491, 499"
Ballerup,151,
Billund,530,"551, 611, 565"
Bornholms Region,400,
Brøndby,153,
Brønderslev-Dronninglund,810,"805, 807"
Dragør,155,
Egedal,240,"171, 235, 237"
Esbjerg,561,"557, 567, 571"
Fanø,563,
Favrskov,710,"709, 711, 713, 767, 717"
Faxe,320,"351, 313, 385"
Fredensborg,210,"208, 227"
Fredericia,607,
Frederiksberg,147,
Frederikshavn,813,"841, 847"
Frederikssund,250,"209, 225, 229, 233"
Frederiksværk-Hundested,260,"211, 221"
Furesø,190,"189, 207"
Faaborg-Midtfyn,430,"425, 431, 473, 477, 497"
Gentofte,157,
Gladsaxe,159,
Glostrup,161,
Greve,253,
Gribskov,270,"213, 215"
Guldborgsund,376,"369, 371, 375, 387, 391, 395"
Haderslev,510,"509, 511, 515, 525, 543"
Hedensted,766,"613, 619, 627"
Helsingør,217,
Herlev,163,
Herning,657,"651, 677, 685"
Hillerød,219,"231, 233"
Hjørring,860,"819, 821, 829, 839"
Holbæk,316,"315, 321, 339, 341, 345"
Holstebro,661,"679, 683"
Horsens,615,"601, 609"
Hvidovre,167,
Høje-Taastrup,169,
Hørsholm,223,
Ikast-Brande,756,"625, 653, 663"
Ishøj,183,
Jammerbugt,849,"803, 811, 835, 849"
Kalundborg,326,"301, 309, 317, 319, 323"
Kerteminde,440,"439, 441, 447"
Kolding,621,"509, 605, 621, 623, 629"
København,101,
Køge,259,267
Langeland,482,"475, 481, 487"
Lejre,350,"251, 257, 261"
Lemvig,665,673
Lolland,360,"355, 359, 363, 367, 379, 381, 383"
Lyngby-Tårbæk,173,
Læsø,825,
Mariagerfjord,846,"719, 793, 801, 815, 823, 833"
Middelfart,410,"429, 445, 451"
Morsø,773,
Norddjurs,707,"725, 735, 747"
Nordfyns,480,"423, 471, 483"
Nyborg,450,"449, 489, 495,"
Næstved,370,"307, 353, 357, 373, 393"
Odder,727,
Odense,461,
Odsherred,306,305327343
Randers,730,"717, 719, 723,729,731, 747"
Rebild,840,"833, 843, 845"
Ringkøbing-Skjern,760,"655, 659, 667, 669, 681"
Ringsted,329,
Roskilde,265,"255, 263"
Rudersdal,230,"181, 205"
Rødovre,175,
Samsø,741,
Silkeborg,740,"705, 743, 749, 771"
Skanderborg,746,"601, 703, 715, 737, 745"
Skive,779,"777, 781, 783"
Slagelse,330,"311, 325, 331, 333"
Solrød,269,
Sorø,340,"303, 335, 337"
Stevns,336,"271, 389"
Struer,671,675
Svendborg,479,"427, 435"
Syddjurs,706,"701, 721, 733, 739"
Sønderborg,540,"501, 507, 513, 523, 533, 535,537"
Thisted,787,"765, 785"
Tønder,550,"505, 517, 521, 525, 531, 541,"
Tårnby,185,
Vallensbæk,187,
Varde,573,"553, 555, 567, 577"
Vejen,575,"527, 559, 569"
Vejle,630,"603, 605, 611, 617, 627, 631"
Vesthimmerlands,820,"793, 809, 827, 861"
Viborg,791,"761, 763, 769, 775, 789, 793"
Vordingborg,390,"361, 365, 377, 397"
Ærø,492,"443, 493"
Aabenraa,580,"503, 519, 529, 539, 545"
Aalborg,851,"817, 831, 837"
Århus,751,
Udlandet,999,
