Kommunenavn,muni_code,old_muni_code
Assens,420,421
Assens,420,433
Assens,420,437
Assens,420,485
Assens,420,491
Assens,420,499
Assens,420,420
Billund,530,551
Billund,530,611
Billund,530,565
Billund,530,530
Brønderslev-Dronninglund,810,805
Brønderslev-Dronninglund,810,807
Brønderslev-Dronninglund,810,810
Egedal,240,171
Egedal,240,235
Egedal,240,237
Egedal,240,240
Esbjerg,561,557
Esbjerg,561,567
Esbjerg,561,571
Esbjerg,561,561
Favrskov,710,709
Favrskov,710,711
Favrskov,710,713
Favrskov,710,767
Favrskov,710,717
Favrskov,710,710
Faxe,320,351
Faxe,320,313
Faxe,320,385
Faxe,320,320
Fredensborg,210,208
Fredensborg,210,227
Fredensborg,210,210
Frederikshavn,813,841
Frederikshavn,813,847
Frederikshavn,813,813
Frederikssund,250,209
Frederikssund,250,225
Frederikssund,250,229
Frederikssund,250,233
Frederikssund,250,250
Frederiksværk-Hundested,260,211
Frederiksværk-Hundested,260,221
Frederiksværk-Hundested,260,260
Furesø,190,189
Furesø,190,207
Furesø,190,190
Faaborg-Midtfyn,430,425
Faaborg-Midtfyn,430,431
Faaborg-Midtfyn,430,473
Faaborg-Midtfyn,430,477
Faaborg-Midtfyn,430,497
Faaborg-Midtfyn,430,430
Gribskov,270,213
Gribskov,270,215
Gribskov,270,270
Guldborgsund,376,369
Guldborgsund,376,371
Guldborgsund,376,375
Guldborgsund,376,387
Guldborgsund,376,391
Guldborgsund,376,395
Guldborgsund,376,376
Haderslev,510,509
Haderslev,510,511
Haderslev,510,515
Haderslev,510,525
Haderslev,510,543
Haderslev,510,510
Hedensted,766,613
Hedensted,766,619
Hedensted,766,627
Hedensted,766,766
Herning,657,651
Herning,657,677
Herning,657,685
Herning,657,657
Hillerød,219,231
Hillerød,219,233
Hillerød,219,219
Hjørring,860,819
Hjørring,860,821
Hjørring,860,829
Hjørring,860,839
Hjørring,860,860
Holbæk,316,315
Holbæk,316,321
Holbæk,316,339
Holbæk,316,341
Holbæk,316,345
Holbæk,316,316
Holstebro,661,679
Holstebro,661,683
Holstebro,661,661
Horsens,615,601
Horsens,615,609
Horsens,615,615
Ikast-Brande,756,625
Ikast-Brande,756,653
Ikast-Brande,756,663
Ikast-Brande,756,756
Jammerbugt,849,803
Jammerbugt,849,811
Jammerbugt,849,835
Jammerbugt,849,849
Kalundborg,326,301
Kalundborg,326,309
Kalundborg,326,317
Kalundborg,326,319
Kalundborg,326,323
Kalundborg,326,326
Kerteminde,440,439
Kerteminde,440,441
Kerteminde,440,447
Kerteminde,440,440
Kolding,621,509
Kolding,621,605
Kolding,621,621
Kolding,621,623
Kolding,621,629
Køge,259,267
Køge,259,259
Langeland,482,475
Langeland,482,481
Langeland,482,487
Langeland,482,482
Lejre,350,251
Lejre,350,257
Lejre,350,261
Lejre,350,350
Lemvig,665,673
Lemvig,665,665
Lolland,360,355
Lolland,360,359
Lolland,360,363
Lolland,360,367
Lolland,360,379
Lolland,360,381
Lolland,360,383
Lolland,360,360
Mariagerfjord,846,719
Mariagerfjord,846,793
Mariagerfjord,846,801
Mariagerfjord,846,815
Mariagerfjord,846,823
Mariagerfjord,846,833
Mariagerfjord,846,846
Middelfart,410,429
Middelfart,410,445
Middelfart,410,451
Middelfart,410,410
Norddjurs,707,725
Norddjurs,707,735
Norddjurs,707,747
Norddjurs,707,707
Nordfyns,480,423
Nordfyns,480,471
Nordfyns,480,483
Nordfyns,480,480
Nyborg,450,449
Nyborg,450,489
Nyborg,450,"495,"
Nyborg,450,450
Næstved,370,307
Næstved,370,353
Næstved,370,357
Næstved,370,373
Næstved,370,393
Næstved,370,370
Odsherred,306,305327343
Odsherred,306,306
Randers,730,717
Randers,730,719
Randers,730,"723,729,731"
Randers,730,747
Randers,730,730
Rebild,840,833
Rebild,840,843
Rebild,840,845
Rebild,840,840
Ringkøbing-Skjern,760,655
Ringkøbing-Skjern,760,659
Ringkøbing-Skjern,760,667
Ringkøbing-Skjern,760,669
Ringkøbing-Skjern,760,681
Ringkøbing-Skjern,760,760
Roskilde,265,255
Roskilde,265,263
Roskilde,265,265
Rudersdal,230,181
Rudersdal,230,205
Rudersdal,230,230
Silkeborg,740,705
Silkeborg,740,743
Silkeborg,740,749
Silkeborg,740,771
Silkeborg,740,740
Skanderborg,746,601
Skanderborg,746,703
Skanderborg,746,715
Skanderborg,746,737
Skanderborg,746,745
Skanderborg,746,746
