municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square meters,square meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
161,Ejerlejlighed,"Dalvangsvej 13, 1. 3",2600, Glostrup,1000000,2022-12-28,Fam. Salg,88,11364,3,1967,
161,Rækkehus,Anemonevej 27,2600, Glostrup,3800000,2022-12-22,Alm. Salg,136,27941,4,1974,-5%
161,Villa,Statenevej 17,2600, Glostrup,2900000,2022-12-22,Alm. Salg,121,23967,4,1979,-9%
161,Ejerlejlighed,"Christiansvej 13, 2. th",2600, Glostrup,1275000,2022-12-20,Alm. Salg,57,22368,2,1947,-9%
161,Villa,Blåmejsevej 1,2600, Glostrup,2400000,2022-12-20,Alm. Salg,132,16667,7,1957,-8%
161,Ejerlejlighed,"Gyvelvej 18, 1. tv",2600, Glostrup,2200000,2022-12-18,Alm. Salg,77,28571,3,1961,
161,Villa,Ejby Mosevej 143,2600, Glostrup,4350000,2022-12-18,Alm. Salg,139,31295,5,1980,-7%
161,Villa,Falkevej 30,2600, Glostrup,4253000,2022-12-15,Alm. Salg,133,31977,5,1939,
161,Villa,Rødkælkevej 47,2600, Glostrup,3850000,2022-12-12,Alm. Salg,136,28309,5,1963,-8%
161,Villa,Ejbydalsvej 89,2600, Glostrup,3800000,2022-12-12,Alm. Salg,178,21348,5,1972,-5%
161,Villa,Edithsvej 9,2600, Glostrup,4200000,2022-12-12,Alm. Salg,142,29577,5,1934,-4%
161,Villa,Ingersvej 30,2600, Glostrup,3695000,2022-12-09,Alm. Salg,87,42471,4,1937,
161,Ejerlejlighed,"Brøndbyvestervej 20, st. 5",2600, Glostrup,1575000,2022-12-07,Alm. Salg,72,21875,2,1961,-7%
161,Ejerlejlighed,"Højvangsvej 30, st. tv",2600, Glostrup,1850000,2022-12-07,Alm. Salg,62,29839,2,1934,-7%
161,Ejerlejlighed,"Ørnebjergvej 12D, 2. th",2600, Glostrup,1300000,2022-12-03,Alm. Salg,53,24528,2,1935,-4%
161,Ejerlejlighed,"Christiansvej 7, st. th",2600, Glostrup,871330,2022-12-01,Alm. Salg,79,11029,4,1947,
161,Ejerlejlighed,"Sofielundsvej 1C, st. tv",2600, Glostrup,1600000,2022-11-27,Alm. Salg,51,31373,2,1939,
161,Rækkehus,Bovneager 25,2600, Glostrup,4525000,2022-11-22,Alm. Salg,135,33519,5,2012,-4%
161,Ejerlejlighed,"Brøndbyvestervej 18, 1. k",2600, Glostrup,1900000,2022-11-22,Alm. Salg,80,23750,3,1961,-9%
161,Ejerlejlighed,"Hovedvejen 146, 3. k",2600, Glostrup,1470000,2022-11-22,Alm. Salg,68,21618,2,1966,-2%
161,Villa,Falkevej 25,2600, Glostrup,3525000,2022-11-22,Alm. Salg,99,35606,4,1938,-5%
161,Villa,Valmuevej 10,2600, Glostrup,2550000,2022-11-22,Alm. Salg,114,22368,3,1930,-2%
161,Villa,Blåmejsevej 26,2600, Glostrup,2910000,2022-11-14,Alm. Salg,96,30313,3,1962,-3%
