muni_code,year,gini_index
0,1992,22.34
0,1993,22.79
0,1994,22.5
0,1995,22.41
0,1996,22.83
0,1997,23.47
0,1998,23.81
0,1999,23.83
0,2000,24.38
0,2001,24.4
0,2002,24.03
0,2003,24.14
0,2004,24.68
0,2005,25.66
0,2006,26.28
0,2007,27.02
0,2008,27.94
0,2009,26.74
0,2010,27.47
0,2011,27.68
0,2012,27.37
0,2013,27.88
0,2014,28.33
0,2015,28.77
0,2016,28.97
0,2017,29.32
0,2018,29.1
0,2019,29.55
0,2020,29.72
0,2021,30.28
101,1992,23.49
101,1993,23.74
101,1994,23.34
101,1995,23.87
101,1996,24.1
101,1997,24.76
101,1998,24.99
101,1999,25.48
101,2000,26.48
101,2001,26.53
101,2002,26.63
101,2003,26.91
101,2004,27.73
101,2005,28.47
101,2006,28.79
101,2007,29.14
101,2008,29.6
101,2009,29.38
101,2010,31.44
101,2011,31.38
101,2012,31.25
101,2013,31.86
101,2014,32.13
101,2015,32.7
101,2016,33.24
101,2017,33.65
101,2018,33.71
101,2019,33.95
101,2020,34.35
101,2021,35.09
147,1992,26.27
147,1993,26.29
147,1994,25.97
147,1995,26.16
147,1996,26.61
147,1997,26.73
147,1998,27.3
147,1999,27.77
147,2000,28.51
147,2001,28.51
147,2002,28.69
147,2003,28.59
147,2004,29.15
147,2005,30.66
147,2006,31.64
147,2007,31.39
147,2008,31.55
147,2009,30.33
147,2010,32.93
147,2011,33.22
147,2012,33.53
147,2013,33.92
147,2014,34.98
147,2015,34.37
147,2016,34.85
147,2017,35.71
147,2018,35.42
147,2019,35.92
147,2020,35.72
147,2021,37.22
155,1992,22.53
155,1993,22.42
155,1994,22.31
155,1995,21.95
155,1996,22.44
155,1997,22.89
155,1998,23.07
155,1999,22.82
155,2000,22.88
155,2001,23.23
155,2002,22.86
155,2003,22.64
155,2004,22.53
155,2005,24.04
155,2006,24.62
155,2007,26.42
155,2008,27.57
155,2009,26.25
155,2010,26.93
155,2011,28.86
155,2012,25.95
155,2013,26.75
155,2014,27.03
155,2015,27.4
155,2016,28.08
155,2017,27.88
155,2018,27.55
155,2019,28.6
155,2020,28.29
155,2021,28.89
185,1992,18.23
185,1993,18.71
185,1994,18.57
185,1995,18.74
185,1996,19.32
