,muni_code,year,kont_recip_tot
0,0,2007,176782
1,0,2008,174033
2,0,2009,197190
3,0,2010,207110
4,0,2011,211173
5,0,2012,218679
6,0,2013,246657
7,0,2014,253720
8,0,2015,256185
9,0,2016,241534
10,0,2017,214814
11,0,2018,187917
12,0,2019,173312
13,0,2020,167537
14,0,2021,147390
15,0,2022,145407
144,81,2007,16970
145,81,2008,17010
146,81,2009,18933
147,81,2010,19717
148,81,2011,20285
149,81,2012,20931
150,81,2013,23725
151,81,2014,24815
152,81,2015,25816
153,81,2016,24630
154,81,2017,22239
155,81,2018,19716
156,81,2019,18315
157,81,2020,17514
158,81,2021,15779
159,81,2022,15761
160,82,2007,35443
161,82,2008,34630
162,82,2009,39271
163,82,2010,40272
164,82,2011,40670
165,82,2012,42619
166,82,2013,48625
167,82,2014,49979
168,82,2015,50927
169,82,2016,48831
170,82,2017,43785
171,82,2018,38648
172,82,2019,36446
173,82,2020,35601
174,82,2021,31413
175,82,2022,31736
176,83,2007,39078
177,83,2008,38294
178,83,2009,41770
179,83,2010,42978
180,83,2011,44101
181,83,2012,46166
182,83,2013,52587
183,83,2014,54494
184,83,2015,55896
185,83,2016,53086
186,83,2017,47617
187,83,2018,42238
188,83,2019,39019
189,83,2020,37444
190,83,2021,33168
191,83,2022,32096
192,84,2007,57775
193,84,2008,56636
194,84,2009,66085
195,84,2010,70938
196,84,2011,71919
197,84,2012,73625
198,84,2013,82200
199,84,2014,83717
200,84,2015,81870
201,84,2016,74928
202,84,2017,65018
203,84,2018,55584
204,84,2019,50676
205,84,2020,50028
206,84,2021,43330
207,84,2022,40818
208,85,2007,25488
209,85,2008,25507
210,85,2009,28825
211,85,2010,30623
212,85,2011,31709
213,85,2012,33016
214,85,2013,37037
215,85,2014,38163
216,85,2015,39195
217,85,2016,37458
218,85,2017,33749
219,85,2018,29537
220,85,2019,27026
221,85,2020,25432
222,85,2021,22221
223,85,2022,21402
0,101,1994,27694
1,101,1995,31707
2,101,1996,29992
3,101,1997,29336
4,101,1998,29976
5,101,1999,29254
6,101,2000,29547
7,101,2001,29315
8,101,2002,28537
9,101,2003,30913
10,101,2004,28434
11,101,2005,27285
12,101,2006,26288
256,101,2007,27929
257,101,2008,26952
258,101,2009,31623
259,101,2010,33453
260,101,2011,33407
261,101,2012,33321
262,101,2013,36263
263,101,2014,36686
264,101,2015,35346
265,101,2016,31780
266,101,2017,27210
267,101,2018,23767
268,101,2019,21987
269,101,2020,22169
270,101,2021,18819
271,101,2022,16934
13,147,1994,4090
14,147,1995,3928
15,147,1996,3667
16,147,1997,3768
17,147,1998,3539
18,147,1999,3397
19,147,2000,3146
20,147,2001,3228
21,147,2002,3289
22,147,2003,3294
23,147,2004,3133
24,147,2005,2981
25,147,2006,2874
288,147,2007,2710
289,147,2008,2550
290,147,2009,2914
291,147,2010,3098
292,147,2011,3048
293,147,2012,3060
294,147,2013,3568
295,147,2014,3686
296,147,2015,3530
297,147,2016,3129
298,147,2017,2717
299,147,2018,2264
300,147,2019,2169
301,147,2020,2192
302,147,2021,1921
303,147,2022,1879
26,151,1994,2071
27,151,1995,1860
28,151,1996,1781
29,151,1997,1740
30,151,1998,1794
31,151,1999,1477
32,151,2000,1400
33,151,2001,1546
34,151,2002,1636
35,151,2003,1567
36,151,2004,1438
37,151,2005,1411
38,151,2006,1175
304,151,2007,1354
305,151,2008,1371
306,151,2009,1562
307,151,2010,1676
308,151,2011,1781
309,151,2012,1977
310,151,2013,2272
311,151,2014,2265
312,151,2015,2085
313,151,2016,1905
314,151,2017,1668
315,151,2018,1480
316,151,2019,1377
317,151,2020,1352
318,151,2021,1201
319,151,2022,1117
39,153,1994,2003
40,153,1995,1963
41,153,1996,2330
42,153,1997,2367
43,153,1998,2258
44,153,1999,2230
45,153,2000,2040
46,153,2001,1895
47,153,2002,1644
48,153,2003,1592
49,153,2004,1495
50,153,2005,1374
51,153,2006,1330
320,153,2007,1386
321,153,2008,1335
322,153,2009,1601
323,153,2010,1744
