muni_code,year,unemployed
101,1992,74426
101,1993,78390
101,1994,83172
101,1995,78414
101,1996,68708
101,1997,60304
101,1998,48176
101,1999,37500
101,2000,31681
101,2001,29668
101,2002,31830
101,2003,37306
101,2004,38668
101,2005,35174
101,2006,31535
147,1992,11872
147,1993,12746
147,1994,12923
147,1995,11814
147,1996,10088
147,1997,9096
147,1998,7516
147,1999,5907
147,2000,5444
147,2001,4935
147,2002,5120
147,2003,5933
147,2004,6034
147,2005,5484
147,2006,4772
151,1992,4840
151,1993,5252
151,1994,5268
151,1995,4277
151,1996,3600
151,1997,3350
151,1998,2638
151,1999,2084
151,2000,1996
151,2001,1842
151,2002,1848
151,2003,2174
151,2004,2255
151,2005,2049
151,2006,1550
153,1992,4708
153,1993,5113
153,1994,5150
153,1995,4424
153,1996,3861
153,1997,3454
153,1998,2666
153,1999,2006
153,2000,1897
153,2001,1738
153,2002,1572
153,2003,2036
153,2004,2154
153,2005,2028
153,2006,1736
155,1992,837
155,1993,1002
155,1994,1164
155,1995,998
155,1996,789
155,1997,744
155,1998,590
155,1999,421
155,2000,460
155,2001,464
155,2002,478
155,2003,522
155,2004,522
155,2005,470
155,2006,382
157,1992,4590
157,1993,5124
157,1994,5278
157,1995,4764
157,1996,3936
157,1997,3520
157,1998,2976
157,1999,2526
157,2000,2455
157,2001,2208
157,2002,2388
157,2003,2789
157,2004,2909
157,2005,2571
157,2006,2254
159,1992,5544
159,1993,6281
159,1994,6310
159,1995,5688
159,1996,4930
159,1997,4374
159,1998,3304
159,1999,2440
159,2000,2296
159,2001,2111
159,2002,2144
159,2003,2562
159,2004,3148
159,2005,3297
159,2006,2692
161,1992,2340
161,1993,2467
161,1994,2496
161,1995,2030
161,1996,1764
161,1997,1563
161,1998,1187
161,1999,924
161,2000,894
161,2001,824
161,2002,842
161,2003,1094
161,2004,1143
161,2005,1049
161,2006,948
163,1992,3610
163,1993,3664
163,1994,3800
163,1995,2504
163,1996,2092
163,1997,1969
163,1998,1552
163,1999,1194
163,2000,1179
163,2001,1072
163,2002,1094
163,2003,1296
163,2004,1386
163,2005,1434
163,2006,1252
165,1992,5014
165,1993,5240
165,1994,5172
165,1995,4460
165,1996,3774
165,1997,3283
165,1998,2697
165,1999,2166
165,2000,2092
165,2001,1855
165,2002,1772
165,2003,1908
165,2004,2028
165,2005,1901
165,2006,1588
167,1992,5278
167,1993,6004
167,1994,6390
167,1995,5902
