municipality,housing_type,address,zip_code,town,purchase_amount,date_of_sale,type_of_sale,square meters,square meters_price,rooms,year_of_construction,The percentage difference between the latest bid price and the sale price
165,Ejerlejlighed,Egebo 16,2620, Albertslund,1500000,2022-12-21,Alm. Salg,114,13158,5,2008,-54%
165,Rækkehus,Skriverhusene 15,2620, Albertslund,1402500,2022-12-19,Fam. Salg,108,12986,4,1972,
165,Rækkehus,Elmehusene 3,2600, Glostrup,2800000,2022-12-18,Alm. Salg,96,29167,4,1967,-6%
165,Villa,Snebærhaven 82,2620, Albertslund,3295000,2022-12-18,Alm. Salg,105,31381,4,1970,
165,Rækkehus,Bispehusene 44,2620, Albertslund,2645000,2022-12-14,Alm. Salg,108,24491,4,1974,-2%
165,Ejerlejlighed,"Kanaltorvet 8, 1. 4",2620, Albertslund,1095000,2022-12-14,Alm. Salg,59,18559,1,1970,
165,Villa,Enebærhaven 45,2620, Albertslund,3525000,2022-12-14,Alm. Salg,135,26111,5,1971,
165,Villa,Kratager 52,2620, Albertslund,4800000,2022-12-14,Alm. Salg,172,27907,7,1968,-4%
165,Rækkehus,Bispehusene 25,2620, Albertslund,2900000,2022-12-13,Alm. Salg,111,26126,4,1972,-12%
165,Ejerlejlighed,"Topperne 14, st. 1",2620, Albertslund,2050000,2022-12-09,Alm. Salg,97,21134,4,1971,-6%
165,Rækkehus,Lange Eng 28,2620, Albertslund,2250000,2022-12-08,Fam. Salg,128,17578,6,2008,
165,Rækkehus,Robinievej 55,2620, Albertslund,3300000,2022-12-06,Alm. Salg,130,25385,5,2008,-1%
165,Villa,Skovskrænten 4,2620, Albertslund,4900000,2022-12-05,Alm. Salg,209,23445,8,1979,-7%
165,Rækkehus,Elmehusene 85,2600, Glostrup,2750000,2022-12-01,Alm. Salg,96,28646,4,1967,-2%
165,Rækkehus,Præstehusene 55,2620, Albertslund,2900000,2022-11-30,Alm. Salg,152,19079,3,1970,-3%
165,Rækkehus,Elmehusene 160,2600, Glostrup,2600000,2022-11-30,Alm. Salg,96,27083,4,1968,-7%
165,Ejerlejlighed,Egebo 33,2620, Albertslund,2945000,2022-11-30,Alm. Salg,115,25609,5,2008,-2%
165,Villa,Lavager 11,2620, Albertslund,3390000,2022-11-24,Alm. Salg,125,27120,4,1967,-3%
165,Ejerlejlighed,"Topperne 4, 2. 21",2620, Albertslund,1802000,2022-11-22,Alm. Salg,97,18577,4,1971,0%
165,Villa,Horsholmstræde 18,2620, Albertslund,400378,2022-11-15,Fam. Salg,161,2487,5,1986,
165,Rækkehus,Robinievej 109,2620, Albertslund,3200000,2022-11-13,Alm. Salg,131,24427,4,2008,-5%
165,Rækkehus,Præstehusene 84,2620, Albertslund,2900000,2022-11-09,Alm. Salg,151,19205,4,1969,-3%
165,Rækkehus,Pilehusene 4,2600, Glostrup,2795000,2022-11-06,Alm. Salg,110,25409,5,1973,-3%
165,Villa,Kvædehaven 53,2600, Glostrup,3300000,2022-11-03,Alm. Salg,144,22917,4,1968,-6%
165,Rækkehus,Falkehusene 14,2620, Albertslund,2760000,2022-11-02,Alm. Salg,106,26038,4,1970,-8%
