Boligtype & Adresse,Købesum,Dato & Type,m² & Kr. / m²,Vær.,Byggeår,Den procentuelle forskel mellem seneste udbudspris og salgsprisen %,Unnamed: 7
Ejerlejlighed EEjerlejlighed Egebo 16  2620 Albertslund,1.500.000 kr.,21-12-2022Alm. Salg,114 m² 13.158 kr/m²,5,2008,-54%,Aktuel værdi
Rækkehus RRækkehus Skriverhusene 15  2620 Albertslund,1.402.500 kr.,19-12-2022Fam. Salg,108 m² 12.986 kr/m²,4,1972,,Aktuel værdi
Rækkehus RRækkehus Elmehusene 3  2600 Glostrup,2.800.000 kr.,18-12-2022Alm. Salg,96 m² 29.167 kr/m²,4,1967,-6%,Aktuel værdi
Villa VVilla Snebærhaven 82  2620 Albertslund,3.295.000 kr.,18-12-2022Alm. Salg,105 m² 31.381 kr/m²,4,1970,,Aktuel værdi
Rækkehus RRækkehus Bispehusene 44  2620 Albertslund,2.645.000 kr.,14-12-2022Alm. Salg,108 m² 24.491 kr/m²,4,1974,-2%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Kanaltorvet 8, 1. 4  2620 Albertslund",1.095.000 kr.,14-12-2022Alm. Salg,59 m² 18.559 kr/m²,1,1970,,Aktuel værdi
Villa VVilla Enebærhaven 45  2620 Albertslund,3.525.000 kr.,14-12-2022Alm. Salg,135 m² 26.111 kr/m²,5,1971,,Aktuel værdi
Villa VVilla Kratager 52  2620 Albertslund,4.800.000 kr.,14-12-2022Alm. Salg,172 m² 27.907 kr/m²,7,1968,-4%,Aktuel værdi
Rækkehus RRækkehus Bispehusene 25  2620 Albertslund,2.900.000 kr.,13-12-2022Alm. Salg,111 m² 26.126 kr/m²,4,1972,-12%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Topperne 14, st. 1  2620 Albertslund",2.050.000 kr.,09-12-2022Alm. Salg,97 m² 21.134 kr/m²,4,1971,-6%,Aktuel værdi
Rækkehus RRækkehus Lange Eng 28  2620 Albertslund,2.250.000 kr.,08-12-2022Fam. Salg,128 m² 17.578 kr/m²,6,2008,,Aktuel værdi
Rækkehus RRækkehus Robinievej 55  2620 Albertslund,3.300.000 kr.,06-12-2022Alm. Salg,130 m² 25.385 kr/m²,5,2008,-1%,Aktuel værdi
Villa VVilla Skovskrænten 4  2620 Albertslund,4.900.000 kr.,05-12-2022Alm. Salg,209 m² 23.445 kr/m²,8,1979,-7%,Aktuel værdi
Rækkehus RRækkehus Elmehusene 85  2600 Glostrup,2.750.000 kr.,01-12-2022Alm. Salg,96 m² 28.646 kr/m²,4,1967,-2%,Aktuel værdi
Rækkehus RRækkehus Præstehusene 55  2620 Albertslund,2.900.000 kr.,30-11-2022Alm. Salg,152 m² 19.079 kr/m²,3,1970,-3%,Aktuel værdi
Rækkehus RRækkehus Elmehusene 160  2600 Glostrup,2.600.000 kr.,30-11-2022Alm. Salg,96 m² 27.083 kr/m²,4,1968,-7%,Aktuel værdi
Ejerlejlighed EEjerlejlighed Egebo 33  2620 Albertslund,2.945.000 kr.,30-11-2022Alm. Salg,115 m² 25.609 kr/m²,5,2008,-2%,Aktuel værdi
Villa VVilla Lavager 11  2620 Albertslund,3.390.000 kr.,24-11-2022Alm. Salg,125 m² 27.120 kr/m²,4,1967,-3%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Topperne 4, 2. 21  2620 Albertslund",1.802.000 kr.,22-11-2022Alm. Salg,97 m² 18.577 kr/m²,4,1971,0%,Aktuel værdi
Villa VVilla Horsholmstræde 18  2620 Albertslund,400.378 kr.,15-11-2022Fam. Salg,161 m² 2.487 kr/m²,5,1986,,Aktuel værdi
Rækkehus RRækkehus Robinievej 109  2620 Albertslund,3.200.000 kr.,13-11-2022Alm. Salg,131 m² 24.427 kr/m²,4,2008,-5%,Aktuel værdi
Rækkehus RRækkehus Præstehusene 84  2620 Albertslund,2.900.000 kr.,09-11-2022Alm. Salg,151 m² 19.205 kr/m²,4,1969,-3%,Aktuel værdi
Rækkehus RRækkehus Pilehusene 4  2600 Glostrup,2.795.000 kr.,06-11-2022Alm. Salg,110 m² 25.409 kr/m²,5,1973,-3%,Aktuel værdi
Villa VVilla Kvædehaven 53  2600 Glostrup,3.300.000 kr.,03-11-2022Alm. Salg,144 m² 22.917 kr/m²,4,1968,-6%,Aktuel værdi
Rækkehus RRækkehus Falkehusene 14  2620 Albertslund,2.760.000 kr.,02-11-2022Alm. Salg,106 m² 26.038 kr/m²,4,1970,-8%,Aktuel værdi
Rækkehus RRækkehus Jægerhusene 25  2620 Albertslund,2.150.000 kr.,01-11-2022Alm. Salg,106 m² 20.283 kr/m²,4,1968,-4%,Aktuel værdi
Rækkehus RRækkehus Lange Eng 48  2620 Albertslund,1.880.600 kr.,31-10-2022Fam. Salg,95 m² 19.796 kr/m²,4,2008,,Aktuel værdi
Villa VVilla Ledøjevej 16  2620 Albertslund,3.770.000 kr.,29-10-2022Alm. Salg,148 m² 25.473 kr/m²,5,1904,-3%,Aktuel værdi
Villa VVilla Kongsager 77  2620 Albertslund,3.050.000 kr.,27-10-2022Alm. Salg,134 m² 22.761 kr/m²,4,1967,-10%,Aktuel værdi
Rækkehus RRækkehus Fyrrehusene 24  2600 Glostrup,3.050.000 kr.,19-10-2022Alm. Salg,111 m² 27.477 kr/m²,4,1969,-9%,Aktuel værdi
Rækkehus RRækkehus Falkehusene 68  2620 Albertslund,2.300.000 kr.,18-10-2022Alm. Salg,106 m² 21.698 kr/m²,5,1968,-8%,Aktuel værdi
"Ejerlejlighed EEjerlejlighed Topperne 13, 3. 33  2620 Albertslund",2.050.000 kr.,18-10-2022Alm. Salg,100 m² 20.500 kr/m²,4,1972,-7%,Aktuel værdi
Villa VVilla Porsager 54  2620 Albertslund,4.100.000 kr.,11-10-2022Alm. Salg,137 m² 29.927 kr/m²,5,1967,-2%,Aktuel værdi
Rækkehus RRækkehus Jægerhusene 44  2620 Albertslund,2.850.000 kr.,10-10-2022Alm. Salg,106 m² 26.887 kr/m²,4,1968,,Aktuel værdi
Villa VVilla Horsholmstræde 16  2620 Albertslund,3.648.000 kr.,10-10-2022Alm. Salg,108 m² 33.778 kr/m²,3,1986,-1%,Aktuel værdi
Rækkehus RRækkehus Jægerhusene 46  2620 Albertslund,2.735.000 kr.,09-10-2022Alm. Salg,106 m² 25.802 kr/m²,4,1968,-2%,Aktuel værdi
Rækkehus RRækkehus Jægerhusene 77  2620 Albertslund,2.923.000 kr.,07-10-2022Alm. Salg,106 m² 27.575 kr/m²,5,1968,1%,Aktuel værdi
