muni_code,year,unemployed
420.0,1992.0,799.0
420.0,1993.0,836.0
420.0,1994.0,759.0
420.0,1995.0,545.0
420.0,1996.0,406.0
420.0,1997.0,390.0
420.0,1998.0,307.0
420.0,1999.0,332.0
420.0,2000.0,288.0
420.0,2001.0,270.0
420.0,2002.0,331.0
420.0,2003.0,416.0
420.0,2004.0,412.0
420.0,2005.0,410.0
420.0,2006.0,321.0
420.0,1992.0,364.0
420.0,1993.0,410.0
420.0,1994.0,357.0
420.0,1995.0,234.0
420.0,1996.0,182.0
420.0,1997.0,163.0
420.0,1998.0,124.0
420.0,1999.0,146.0
420.0,2000.0,125.0
420.0,2001.0,123.0
420.0,2002.0,151.0
420.0,2003.0,204.0
420.0,2004.0,192.0
420.0,2005.0,185.0
420.0,2006.0,135.0
420.0,1992.0,435.0
420.0,1993.0,426.0
420.0,1994.0,402.0
420.0,1995.0,311.0
420.0,1996.0,225.0
420.0,1997.0,228.0
420.0,1998.0,183.0
420.0,1999.0,185.0
420.0,2000.0,163.0
420.0,2001.0,147.0
420.0,2002.0,180.0
420.0,2003.0,212.0
420.0,2004.0,220.0
420.0,2005.0,225.0
420.0,2006.0,186.0
420.0,1992.0,397.0
420.0,1993.0,442.0
420.0,1994.0,378.0
420.0,1995.0,257.0
420.0,1996.0,220.0
420.0,1997.0,191.0
420.0,1998.0,129.0
420.0,1999.0,120.0
420.0,2000.0,134.0
420.0,2001.0,136.0
420.0,2002.0,141.0
420.0,2003.0,169.0
420.0,2004.0,168.0
420.0,2005.0,144.0
420.0,2006.0,125.0
420.0,1992.0,155.0
420.0,1993.0,182.0
420.0,1994.0,155.0
420.0,1995.0,102.0
420.0,1996.0,94.0
420.0,1997.0,75.0
420.0,1998.0,52.0
420.0,1999.0,53.0
420.0,2000.0,48.0
420.0,2001.0,61.0
420.0,2002.0,62.0
420.0,2003.0,81.0
420.0,2004.0,83.0
420.0,2005.0,66.0
420.0,2006.0,47.0
420.0,1992.0,242.0
420.0,1993.0,260.0
420.0,1994.0,222.0
420.0,1995.0,156.0
420.0,1996.0,126.0
420.0,1997.0,116.0
420.0,1998.0,78.0
420.0,1999.0,67.0
420.0,2000.0,86.0
420.0,2001.0,76.0
420.0,2002.0,79.0
420.0,2003.0,89.0
420.0,2004.0,85.0
420.0,2005.0,78.0
420.0,2006.0,78.0
420.0,1992.0,281.0
420.0,1993.0,341.0
420.0,1994.0,301.0
420.0,1995.0,232.0
420.0,1996.0,193.0
420.0,1997.0,170.0
420.0,1998.0,128.0
420.0,1999.0,122.0
420.0,2000.0,126.0
420.0,2001.0,124.0
420.0,2002.0,137.0
420.0,2003.0,173.0
420.0,2004.0,169.0
420.0,2005.0,147.0
420.0,2006.0,125.0
420.0,1992.0,114.0
420.0,1993.0,158.0
420.0,1994.0,130.0
420.0,1995.0,95.0
420.0,1996.0,86.0
420.0,1997.0,66.0
420.0,1998.0,47.0
420.0,1999.0,50.0
420.0,2000.0,50.0
420.0,2001.0,56.0
420.0,2002.0,63.0
420.0,2003.0,79.0
420.0,2004.0,74.0
420.0,2005.0,61.0
420.0,2006.0,57.0
420.0,1992.0,167.0
420.0,1993.0,184.0
420.0,1994.0,171.0
420.0,1995.0,137.0
420.0,1996.0,107.0
420.0,1997.0,104.0
420.0,1998.0,81.0
420.0,1999.0,73.0
420.0,2000.0,76.0
420.0,2001.0,67.0
420.0,2002.0,74.0
420.0,2003.0,94.0
420.0,2004.0,95.0
420.0,2005.0,87.0
420.0,2006.0,68.0
420.0,1992.0,392.0
420.0,1993.0,454.0
420.0,1994.0,392.0
420.0,1995.0,287.0
420.0,1996.0,245.0
420.0,1997.0,217.0
420.0,1998.0,156.0
420.0,1999.0,172.0
420.0,2000.0,173.0
420.0,2001.0,168.0
420.0,2002.0,157.0
420.0,2003.0,195.0
420.0,2004.0,233.0
420.0,2005.0,207.0
420.0,2006.0,164.0
420.0,1992.0,163.0
420.0,1993.0,216.0
420.0,1994.0,160.0
420.0,1995.0,103.0
420.0,1996.0,92.0
420.0,1997.0,72.0
420.0,1998.0,53.0
420.0,1999.0,67.0
420.0,2000.0,70.0
420.0,2001.0,68.0
420.0,2002.0,64.0
420.0,2003.0,96.0
420.0,2004.0,103.0
420.0,2005.0,85.0
420.0,2006.0,64.0
420.0,1992.0,229.0
420.0,1993.0,239.0
420.0,1994.0,233.0
420.0,1995.0,184.0
420.0,1996.0,153.0
420.0,1997.0,146.0
420.0,1998.0,104.0
420.0,1999.0,106.0
420.0,2000.0,102.0
420.0,2001.0,100.0
420.0,2002.0,93.0
420.0,2003.0,99.0
420.0,2004.0,131.0
420.0,2005.0,122.0
420.0,2006.0,100.0
420.0,1992.0,413.0
420.0,1993.0,437.0
420.0,1994.0,367.0
420.0,1995.0,282.0
420.0,1996.0,257.0
420.0,1997.0,223.0
420.0,1998.0,185.0
420.0,1999.0,179.0
420.0,2000.0,163.0
420.0,2001.0,180.0
420.0,2002.0,179.0
420.0,2003.0,218.0
420.0,2004.0,210.0
420.0,2005.0,187.0
420.0,2006.0,140.0
420.0,1992.0,171.0
420.0,1993.0,207.0
420.0,1994.0,158.0
420.0,1995.0,119.0
420.0,1996.0,116.0
420.0,1997.0,91.0
420.0,1998.0,68.0
420.0,1999.0,71.0
420.0,2000.0,67.0
420.0,2001.0,85.0
420.0,2002.0,86.0
420.0,2003.0,101.0
420.0,2004.0,94.0
420.0,2005.0,77.0
420.0,2006.0,55.0
420.0,1992.0,243.0
420.0,1993.0,230.0
420.0,1994.0,210.0
420.0,1995.0,164.0
420.0,1996.0,141.0
420.0,1997.0,132.0
420.0,1998.0,117.0
420.0,1999.0,107.0
420.0,2000.0,96.0
420.0,2001.0,95.0
420.0,2002.0,93.0
420.0,2003.0,116.0
420.0,2004.0,117.0
420.0,2005.0,110.0
420.0,2006.0,85.0
420.0,1992.0,335.0
420.0,1993.0,374.0
420.0,1994.0,304.0
420.0,1995.0,225.0
420.0,1996.0,203.0
420.0,1997.0,188.0
420.0,1998.0,148.0
420.0,1999.0,132.0
420.0,2000.0,140.0
420.0,2001.0,142.0
420.0,2002.0,140.0
420.0,2003.0,145.0
420.0,2004.0,138.0
420.0,2005.0,121.0
420.0,2006.0,101.0
420.0,1992.0,147.0
420.0,1993.0,187.0
420.0,1994.0,142.0
420.0,1995.0,101.0
420.0,1996.0,86.0
420.0,1997.0,75.0
420.0,1998.0,55.0
420.0,1999.0,56.0
420.0,2000.0,61.0
420.0,2001.0,64.0
420.0,2002.0,66.0
420.0,2003.0,68.0
420.0,2004.0,59.0
420.0,2005.0,59.0
420.0,2006.0,46.0
420.0,1992.0,188.0
420.0,1993.0,187.0
420.0,1994.0,162.0
420.0,1995.0,125.0
420.0,1996.0,116.0
420.0,1997.0,113.0
420.0,1998.0,93.0
420.0,1999.0,76.0
420.0,2000.0,79.0
420.0,2001.0,79.0
420.0,2002.0,75.0
420.0,2003.0,77.0
420.0,2004.0,79.0
420.0,2005.0,63.0
420.0,2006.0,55.0
530.0,1992.0,266.0
530.0,1993.0,317.0
530.0,1994.0,278.0
530.0,1995.0,231.0
530.0,1996.0,202.0
530.0,1997.0,179.0
530.0,1998.0,165.0
530.0,1999.0,165.0
530.0,2000.0,181.0
530.0,2001.0,162.0
530.0,2002.0,153.0
530.0,2003.0,207.0
530.0,2004.0,217.0
530.0,2005.0,187.0
530.0,2006.0,116.0
530.0,1992.0,120.0
530.0,1993.0,163.0
530.0,1994.0,147.0
530.0,1995.0,106.0
530.0,1996.0,88.0
530.0,1997.0,72.0
530.0,1998.0,59.0
530.0,1999.0,67.0
530.0,2000.0,74.0
530.0,2001.0,58.0
530.0,2002.0,56.0
530.0,2003.0,89.0
530.0,2004.0,83.0
530.0,2005.0,75.0
530.0,2006.0,48.0
530.0,1992.0,146.0
530.0,1993.0,154.0
530.0,1994.0,131.0
530.0,1995.0,125.0
530.0,1996.0,114.0
530.0,1997.0,107.0
530.0,1998.0,106.0
530.0,1999.0,98.0
530.0,2000.0,107.0
530.0,2001.0,104.0
530.0,2002.0,97.0
530.0,2003.0,118.0
530.0,2004.0,134.0
530.0,2005.0,111.0
530.0,2006.0,68.0
530.0,1992.0,703.0
530.0,1993.0,783.0
530.0,1994.0,656.0
530.0,1995.0,502.0
530.0,1996.0,432.0
530.0,1997.0,363.0
530.0,1998.0,336.0
530.0,1999.0,339.0
530.0,2000.0,359.0
530.0,2001.0,381.0
530.0,2002.0,343.0
530.0,2003.0,436.0
530.0,2004.0,432.0
530.0,2005.0,400.0
530.0,2006.0,298.0
530.0,1992.0,309.0
530.0,1993.0,350.0
530.0,1994.0,281.0
530.0,1995.0,206.0
530.0,1996.0,192.0
530.0,1997.0,141.0
530.0,1998.0,134.0
530.0,1999.0,123.0
530.0,2000.0,133.0
530.0,2001.0,150.0
530.0,2002.0,147.0
530.0,2003.0,178.0
530.0,2004.0,161.0
530.0,2005.0,147.0
530.0,2006.0,100.0
530.0,1992.0,393.0
530.0,1993.0,433.0
530.0,1994.0,375.0
530.0,1995.0,296.0
530.0,1996.0,241.0
530.0,1997.0,223.0
530.0,1998.0,202.0
530.0,1999.0,215.0
530.0,2000.0,226.0
530.0,2001.0,231.0
530.0,2002.0,196.0
530.0,2003.0,258.0
530.0,2004.0,271.0
530.0,2005.0,252.0
530.0,2006.0,198.0
561.0,1992.0,607.0
561.0,1993.0,657.0
561.0,1994.0,543.0
561.0,1995.0,434.0
561.0,1996.0,418.0
561.0,1997.0,379.0
561.0,1998.0,305.0
561.0,1999.0,303.0
561.0,2000.0,283.0
561.0,2001.0,273.0
561.0,2002.0,256.0
561.0,2003.0,308.0
561.0,2004.0,313.0
561.0,2005.0,281.0
561.0,2006.0,187.0
561.0,1992.0,230.0
561.0,1993.0,272.0
561.0,1994.0,217.0
561.0,1995.0,153.0
561.0,1996.0,156.0
561.0,1997.0,133.0
561.0,1998.0,116.0
561.0,1999.0,115.0
561.0,2000.0,102.0
561.0,2001.0,103.0
561.0,2002.0,103.0
561.0,2003.0,131.0
561.0,2004.0,134.0
561.0,2005.0,116.0
561.0,2006.0,71.0
561.0,1992.0,378.0
561.0,1993.0,386.0
561.0,1994.0,326.0
561.0,1995.0,281.0
561.0,1996.0,262.0
561.0,1997.0,246.0
561.0,1998.0,189.0
561.0,1999.0,188.0
561.0,2000.0,182.0
561.0,2001.0,170.0
561.0,2002.0,154.0
561.0,2003.0,176.0
561.0,2004.0,179.0
561.0,2005.0,165.0
561.0,2006.0,116.0
561.0,1992.0,5360.0
561.0,1993.0,5893.0
561.0,1994.0,5519.0
561.0,1995.0,4459.0
561.0,1996.0,4026.0
561.0,1997.0,3560.0
561.0,1998.0,3040.0
561.0,1999.0,2849.0
561.0,2000.0,2533.0
561.0,2001.0,2548.0
561.0,2002.0,2253.0
561.0,2003.0,2660.0
561.0,2004.0,2567.0
561.0,2005.0,2251.0
561.0,2006.0,1476.0
561.0,1992.0,2465.0
561.0,1993.0,2769.0
561.0,1994.0,2611.0
561.0,1995.0,2038.0
561.0,1996.0,1894.0
561.0,1997.0,1597.0
561.0,1998.0,1377.0
561.0,1999.0,1354.0
561.0,2000.0,1140.0
561.0,2001.0,1214.0
561.0,2002.0,1101.0
561.0,2003.0,1339.0
561.0,2004.0,1241.0
561.0,2005.0,1094.0
561.0,2006.0,702.0
561.0,1992.0,2895.0
561.0,1993.0,3124.0
561.0,1994.0,2908.0
561.0,1995.0,2421.0
561.0,1996.0,2132.0
561.0,1997.0,1963.0
561.0,1998.0,1663.0
561.0,1999.0,1495.0
561.0,2000.0,1393.0
561.0,2001.0,1334.0
561.0,2002.0,1152.0
561.0,2003.0,1321.0
561.0,2004.0,1326.0
561.0,2005.0,1157.0
561.0,2006.0,774.0
561.0,1992.0,898.0
561.0,1993.0,947.0
561.0,1994.0,825.0
561.0,1995.0,614.0
561.0,1996.0,541.0
561.0,1997.0,512.0
561.0,1998.0,395.0
561.0,1999.0,336.0
561.0,2000.0,336.0
561.0,2001.0,342.0
561.0,2002.0,334.0
561.0,2003.0,405.0
561.0,2004.0,461.0
561.0,2005.0,413.0
561.0,2006.0,267.0
561.0,1992.0,387.0
561.0,1993.0,437.0
561.0,1994.0,355.0
561.0,1995.0,242.0
561.0,1996.0,236.0
561.0,1997.0,205.0
561.0,1998.0,166.0
561.0,1999.0,153.0
561.0,2000.0,138.0
561.0,2001.0,151.0
561.0,2002.0,149.0
561.0,2003.0,189.0
561.0,2004.0,206.0
561.0,2005.0,172.0
561.0,2006.0,97.0
561.0,1992.0,511.0
561.0,1993.0,511.0
561.0,1994.0,470.0
561.0,1995.0,372.0
561.0,1996.0,305.0
561.0,1997.0,308.0
561.0,1998.0,230.0
561.0,1999.0,183.0
561.0,2000.0,198.0
561.0,2001.0,191.0
561.0,2002.0,185.0
561.0,2003.0,216.0
561.0,2004.0,256.0
