OMRÅDE;YDELSESART;TID;INDHOLD
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1994M01 1994M01;197397
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1994M02 1994M02;206805
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1994M03 1994M03;211067
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1994M04 1994M04;212781
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1994M05 1994M05;208159
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1994M06 1994M06;209760
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1994M07 1994M07;211752
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1994M08 1994M08;211397
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1994M09 1994M09;205323
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1994M10 1994M10;202558
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1994M11 1994M11;202784
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1994M12 1994M12;219230
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1995M01 1995M01;192970
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1995M02 1995M02;199286
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1995M03 1995M03;202808
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1995M04 1995M04;192218
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1995M05 1995M05;196167
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1995M06 1995M06;194410
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1995M07 1995M07;194477
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1995M08 1995M08;195718
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1995M09 1995M09;193346
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1995M10 1995M10;193623
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1995M11 1995M11;193748
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1995M12 1995M12;209525
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1996M01 1996M01;188863
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1996M02 1996M02;198050
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1996M03 1996M03;201933
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1996M04 1996M04;197597
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1996M05 1996M05;198711
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1996M06 1996M06;195725
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1996M07 1996M07;198140
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1996M08 1996M08;196713
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1996M09 1996M09;193589
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1996M10 1996M10;197288
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1996M11 1996M11;196922
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1996M12 1996M12;207032
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1997M01 1997M01;188162
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1997M02 1997M02;196389
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1997M03 1997M03;197488
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1997M04 1997M04;201215
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1997M05 1997M05;200496
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1997M06 1997M06;199010
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1997M07 1997M07;200504
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1997M08 1997M08;198949
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1997M09 1997M09;196471
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1997M10 1997M10;200975
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1997M11 1997M11;196781
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1997M12 1997M12;212333
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1998M01 1998M01;190715
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1998M02 1998M02;201295
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1998M03 1998M03;203527
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1998M04 1998M04;200296
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1998M05 1998M05;200769
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1998M06 1998M06;198233
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1998M07 1998M07;199654
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1998M08 1998M08;185101
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1998M09 1998M09;182717
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1998M10 1998M10;182731
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1998M11 1998M11;180827
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1998M12 1998M12;190430
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1999M01 1999M01;188417
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1999M02 1999M02;186957
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1999M03 1999M03;191787
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1999M04 1999M04;189917
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1999M05 1999M05;186081
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1999M06 1999M06;189003
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1999M07 1999M07;187217
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1999M08 1999M08;186802
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1999M09 1999M09;188601
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1999M10 1999M10;188672
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1999M11 1999M11;190861
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;1999M12 1999M12;193995
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2000M01 2000M01;187462
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2000M02 2000M02;192987
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2000M03 2000M03;196098
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2000M04 2000M04;189220
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2000M05 2000M05;191587
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2000M06 2000M06;190364
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2000M07 2000M07;185483
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2000M08 2000M08;187894
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2000M09 2000M09;187005
