TAL;OMRÅDE;TID;INDHOLD
1 Berørte personer (antal);000 Hele landet;2007 2007;176782
1 Berørte personer (antal);000 Hele landet;2008 2008;174033
1 Berørte personer (antal);000 Hele landet;2009 2009;197190
1 Berørte personer (antal);000 Hele landet;2010 2010;207110
1 Berørte personer (antal);000 Hele landet;2011 2011;211173
1 Berørte personer (antal);000 Hele landet;2012 2012;218679
1 Berørte personer (antal);000 Hele landet;2013 2013;246657
1 Berørte personer (antal);000 Hele landet;2014 2014;253720
1 Berørte personer (antal);000 Hele landet;2015 2015;256185
1 Berørte personer (antal);000 Hele landet;2016 2016;241534
1 Berørte personer (antal);000 Hele landet;2017 2017;214814
1 Berørte personer (antal);000 Hele landet;2018 2018;187917
1 Berørte personer (antal);000 Hele landet;2019 2019;173312
1 Berørte personer (antal);000 Hele landet;2020 2020;167537
1 Berørte personer (antal);000 Hele landet;2021 2021;147390
1 Berørte personer (antal);000 Hele landet;2022 2022;145407
1 Berørte personer (antal);084 Region Hovedstaden;2007 2007;57775
1 Berørte personer (antal);084 Region Hovedstaden;2008 2008;56636
1 Berørte personer (antal);084 Region Hovedstaden;2009 2009;66085
1 Berørte personer (antal);084 Region Hovedstaden;2010 2010;70938
1 Berørte personer (antal);084 Region Hovedstaden;2011 2011;71919
1 Berørte personer (antal);084 Region Hovedstaden;2012 2012;73625
1 Berørte personer (antal);084 Region Hovedstaden;2013 2013;82200
1 Berørte personer (antal);084 Region Hovedstaden;2014 2014;83717
1 Berørte personer (antal);084 Region Hovedstaden;2015 2015;81870
1 Berørte personer (antal);084 Region Hovedstaden;2016 2016;74928
1 Berørte personer (antal);084 Region Hovedstaden;2017 2017;65018
1 Berørte personer (antal);084 Region Hovedstaden;2018 2018;55584
1 Berørte personer (antal);084 Region Hovedstaden;2019 2019;50676
1 Berørte personer (antal);084 Region Hovedstaden;2020 2020;50028
1 Berørte personer (antal);084 Region Hovedstaden;2021 2021;43330
1 Berørte personer (antal);084 Region Hovedstaden;2022 2022;40818
