,value,parameter,muni_code
0,0.0,1,860
1,0.0,erhvervsindkomst,860
2,-0.0,formueindkomst,860
3,-0.0,anden_personlig_indkomst,860
4,0.0,kont_recip_tot,860
5,0.0,gini_index,860
6,-0.0,unemployed,860
7,0.0,pop_den,860
8,0.05769767510859775,erhvervsindkomst^2,860
9,0.0,erhvervsindkomst formueindkomst,860
10,0.016916391466302243,erhvervsindkomst anden_personlig_indkomst,860
11,0.0005211406791271465,erhvervsindkomst kont_recip_tot,860
12,0.0003508249900452447,erhvervsindkomst gini_index,860
13,0.0,erhvervsindkomst unemployed,860
14,0.00013782365817157938,erhvervsindkomst pop_den,860
15,0.0029078409744175415,formueindkomst^2,860
16,0.004187366467418125,formueindkomst anden_personlig_indkomst,860
17,-0.0038627106245348484,formueindkomst kont_recip_tot,860
18,-0.0022667336012349862,formueindkomst gini_index,860
19,0.0,formueindkomst unemployed,860
20,-0.0017059413180072415,formueindkomst pop_den,860
21,0.0,anden_personlig_indkomst^2,860
22,0.013308534868876327,anden_personlig_indkomst kont_recip_tot,860
23,1.0590716635623433e-05,anden_personlig_indkomst gini_index,860
24,0.0,anden_personlig_indkomst unemployed,860
25,-0.0018768585538470521,anden_personlig_indkomst pop_den,860
26,-0.0037681923268656635,kont_recip_tot^2,860
27,-5.053382678637506e-05,kont_recip_tot gini_index,860
28,0.0,kont_recip_tot unemployed,860
29,-0.00035335028235744835,kont_recip_tot pop_den,860
30,0.008161536215386917,gini_index^2,860
31,-0.0,gini_index unemployed,860
32,0.00023250766704661157,gini_index pop_den,860
33,0.0,unemployed^2,860
34,0.00033976376461191456,unemployed pop_den,860
35,0.001149245565806348,pop_den^2,860
36,0.0011816600199822146,erhvervsindkomst^3,860
37,0.0010711469188055046,erhvervsindkomst^2 formueindkomst,860
38,0.001453195957787201,erhvervsindkomst^2 anden_personlig_indkomst,860
39,-0.001159330620551002,erhvervsindkomst^2 kont_recip_tot,860
40,1.667391129589536e-05,erhvervsindkomst^2 gini_index,860
41,0.0009478025342838488,erhvervsindkomst^2 unemployed,860
42,-2.039040053963205e-06,erhvervsindkomst^2 pop_den,860
43,0.005347288332656676,erhvervsindkomst formueindkomst^2,860
44,0.00019418879420760442,erhvervsindkomst formueindkomst anden_personlig_indkomst,860
45,-0.002565948044347712,erhvervsindkomst formueindkomst kont_recip_tot,860
46,-0.000504649315051089,erhvervsindkomst formueindkomst gini_index,860
47,0.019513022696895786,erhvervsindkomst formueindkomst unemployed,860
48,1.9797520603737933e-06,erhvervsindkomst formueindkomst pop_den,860
49,-0.002889046546149812,erhvervsindkomst anden_personlig_indkomst^2,860
50,0.005637322025109632,erhvervsindkomst anden_personlig_indkomst kont_recip_tot,860
51,-0.0016590594060788793,erhvervsindkomst anden_personlig_indkomst gini_index,860
52,-0.006330691300244494,erhvervsindkomst anden_personlig_indkomst unemployed,860
53,-6.065544953012562e-05,erhvervsindkomst anden_personlig_indkomst pop_den,860
54,-0.0011246485989101676,erhvervsindkomst kont_recip_tot^2,860
55,0.00031590085983594613,erhvervsindkomst kont_recip_tot gini_index,860
56,1.130980604321146e-06,erhvervsindkomst kont_recip_tot unemployed,860
57,-3.2241284540870614e-05,erhvervsindkomst kont_recip_tot pop_den,860
58,0.0003597321604317229,erhvervsindkomst gini_index^2,860
59,-0.001720519220733553,erhvervsindkomst gini_index unemployed,860
60,-8.708946418032007e-05,erhvervsindkomst gini_index pop_den,860
61,0.0001357290884093601,erhvervsindkomst unemployed^2,860
62,1.4177349677746882e-05,erhvervsindkomst unemployed pop_den,860
63,-4.645719975801281e-06,erhvervsindkomst pop_den^2,860
64,0.011944464479092783,formueindkomst^3,860
65,0.0010917279660241298,formueindkomst^2 anden_personlig_indkomst,860
66,-0.004565443353716487,formueindkomst^2 kont_recip_tot,860
67,-0.0008440647972671248,formueindkomst^2 gini_index,860
68,0.043961343842982475,formueindkomst^2 unemployed,860
69,-0.00027358181444516486,formueindkomst^2 pop_den,860
70,-0.0006138547293053252,formueindkomst anden_personlig_indkomst^2,860
71,0.002717114459251802,formueindkomst anden_personlig_indkomst kont_recip_tot,860
72,-0.0025022898480350003,formueindkomst anden_personlig_indkomst gini_index,860
73,0.0,formueindkomst anden_personlig_indkomst unemployed,860
74,-0.0001551033527647485,formueindkomst anden_personlig_indkomst pop_den,860
75,-0.00027171026045626494,formueindkomst kont_recip_tot^2,860
76,-0.00021003016850372304,formueindkomst kont_recip_tot gini_index,860
77,-0.004665699839600414,formueindkomst kont_recip_tot unemployed,860
78,-0.00013202414828466922,formueindkomst kont_recip_tot pop_den,860
79,0.00010896367378261014,formueindkomst gini_index^2,860
80,-0.007319464727561452,formueindkomst gini_index unemployed,860
81,-0.00015254267155346567,formueindkomst gini_index pop_den,860
82,0.0,formueindkomst unemployed^2,860
83,-0.0004821349018095687,formueindkomst unemployed pop_den,860
84,-2.8477176232255204e-05,formueindkomst pop_den^2,860
85,-0.0026254250464274537,anden_personlig_indkomst^3,860
86,0.004815048851136544,anden_personlig_indkomst^2 kont_recip_tot,860
