,value,parameter,muni_code
0,0.0,1,860
1,0.0,erhvervsindkomst,860
2,0.0,formueindkomst,860
3,-0.0,anden_personlig_indkomst,860
4,0.0,kont_recip_tot,860
5,0.0,gini_index,860
6,0.0,unemployed,860
7,-0.0,pop_den,860
8,-0.004060047983357585,erhvervsindkomst^2,860
9,-0.04119699735073742,erhvervsindkomst formueindkomst,860
10,0.0,erhvervsindkomst anden_personlig_indkomst,860
11,0.0,erhvervsindkomst kont_recip_tot,860
12,-0.0,erhvervsindkomst gini_index,860
13,0.0,erhvervsindkomst unemployed,860
14,0.007552725203691375,erhvervsindkomst pop_den,860
15,-0.0,formueindkomst^2,860
16,0.0039327630373985215,formueindkomst anden_personlig_indkomst,860
17,0.0,formueindkomst kont_recip_tot,860
18,-0.0,formueindkomst gini_index,860
19,0.0,formueindkomst unemployed,860
20,0.01012482458536135,formueindkomst pop_den,860
21,-0.0193071316696035,anden_personlig_indkomst^2,860
22,0.17903067645514956,anden_personlig_indkomst kont_recip_tot,860
23,-0.0,anden_personlig_indkomst gini_index,860
24,0.0,anden_personlig_indkomst unemployed,860
25,-0.01604265948205884,anden_personlig_indkomst pop_den,860
26,-0.05530427420682154,kont_recip_tot^2,860
27,0.0,kont_recip_tot gini_index,860
28,0.0,kont_recip_tot unemployed,860
29,0.0,kont_recip_tot pop_den,860
30,-0.0,gini_index^2,860
31,0.0,gini_index unemployed,860
32,0.007917282630426323,gini_index pop_den,860
33,-0.0,unemployed^2,860
34,0.0012465344705794583,unemployed pop_den,860
35,-0.0009539046434637396,pop_den^2,860
36,0.0,housing_type_Ejerlejlighed,860
37,0.4304113948477181,housing_type_Rækkehus,860
38,-0.8110769827507904,housing_type_Villa,860
39,0.0,1,851
40,0.35957864684895136,erhvervsindkomst,851
41,0.04323254302709224,formueindkomst,851
42,0.007533081961876076,anden_personlig_indkomst,851
43,0.0,kont_recip_tot,851
44,0.4987223556289174,gini_index,851
45,-0.0,unemployed,851
46,0.0,pop_den,851
47,0.0,housing_type_Rækkehus,851
48,0.08495852996979046,housing_type_Ejerlejlighed,851
49,-0.6543546519509128,housing_type_Villa,851
50,0.0,1,849
51,0.5121940898358046,erhvervsindkomst,849
52,0.04568038397348753,formueindkomst,849
53,-0.0015129628462706188,anden_personlig_indkomst,849
54,0.16510029365611695,kont_recip_tot,849
55,0.0,gini_index,849
56,-0.04232317932777866,unemployed,849
57,0.026164217011242913,pop_den,849
58,-0.0,housing_type_Ejerlejlighed,849
59,0.48348739030729543,housing_type_Rækkehus,849
60,-0.6744432122519969,housing_type_Villa,849
61,0.0,1,846
62,0.0,erhvervsindkomst,846
63,0.0,formueindkomst,846
64,0.0,anden_personlig_indkomst,846
65,-0.0,kont_recip_tot,846
66,-0.0,gini_index,846
67,0.0,unemployed,846
68,-0.0,pop_den,846
69,-0.0,erhvervsindkomst^2,846
70,-0.0,erhvervsindkomst formueindkomst,846
71,0.0,erhvervsindkomst anden_personlig_indkomst,846
72,-0.0,erhvervsindkomst kont_recip_tot,846
73,-0.0,erhvervsindkomst gini_index,846
74,0.0099311098620965,erhvervsindkomst unemployed,846
75,0.0463343200896803,erhvervsindkomst pop_den,846
76,-0.11043272286583751,formueindkomst^2,846
77,-0.06665269174836265,formueindkomst anden_personlig_indkomst,846
78,-0.0,formueindkomst kont_recip_tot,846
79,0.05468404568591065,formueindkomst gini_index,846
80,0.0,formueindkomst unemployed,846
81,0.06653720050279427,formueindkomst pop_den,846
82,-0.0,anden_personlig_indkomst^2,846
83,0.0,anden_personlig_indkomst kont_recip_tot,846
84,0.07367942509553507,anden_personlig_indkomst gini_index,846
85,-0.0,anden_personlig_indkomst unemployed,846
86,-0.08080217973996115,anden_personlig_indkomst pop_den,846
87,0.0,kont_recip_tot^2,846
88,-0.01118773634337852,kont_recip_tot gini_index,846
89,0.0,kont_recip_tot unemployed,846
90,0.0,kont_recip_tot pop_den,846
91,-0.008594601951371725,gini_index^2,846
92,0.0,gini_index unemployed,846
93,-0.0,gini_index pop_den,846
94,-0.0,unemployed^2,846
95,-0.01634918283235971,unemployed pop_den,846
96,-0.007983457048359828,pop_den^2,846
97,0.0,housing_type_Ejerlejlighed,846
98,0.24852110498406987,housing_type_Rækkehus,846
99,-0.9546318089011498,housing_type_Villa,846
100,0.0,1,840
101,0.6279584655159386,erhvervsindkomst,840
102,0.0,formueindkomst,840
103,0.012101019500595679,anden_personlig_indkomst,840
104,-0.0,kont_recip_tot,840
105,0.10877953587785245,gini_index,840
106,-0.062195076763718195,unemployed,840
107,0.0,pop_den,840
108,0.06238168313945637,housing_type_Ejerlejlighed,840
109,0.0,housing_type_Rækkehus,840
110,-0.967677481754184,housing_type_Villa,840
111,0.0,1,825
112,0.0,erhvervsindkomst,825
113,-0.0,formueindkomst,825
114,-0.0,anden_personlig_indkomst,825
115,-0.08990646139306925,kont_recip_tot,825
116,0.0,gini_index,825
117,-0.17439774388274834,unemployed,825
118,-0.19378763348525335,pop_den,825
119,-0.30793168634760004,housing_type_Villa,825
120,0.0,housing_type_Ejerlejlighed,825
