,erhvervsindkomst,formueindkomst,anden_personlig_indkomst,muni_code,year
0,93753,4344,6719,000,1987
1,98081,4664,7072,000,1988
2,100828,4685,7670,000,1989
3,103488,5117,8117,000,1990
4,105616,5128,4005,000,1991
5,107737,5298,3606,000,1992
6,107804,5087,3910,000,1993
7,114936,4509,1642,000,1994
8,120416,5009,1613,000,1995
9,125666,5415,1251,000,1996
10,131979,6185,1898,000,1997
11,138889,6451,2220,000,1998
12,145079,6530,1774,000,1999
13,152035,8080,1447,000,2000
14,158655,8090,1807,000,2001
15,161677,7263,2500,000,2002
16,163210,6704,2541,000,2003
17,168134,6937,2267,000,2004
18,174473,8665,2141,000,2005
19,183647,10818,2242,000,2006
20,191218,13853,2340,000,2007
21,195540,9981,2536,000,2008
22,191138,6987,2160,000,2009
23,194934,8627,2383,000,2010
24,196528,8572,2315,000,2011
25,199889,9127,1626,000,2012
26,202615,9911,1497,000,2013
27,205509,10488,1598,000,2014
28,210232,13557,2437,000,2015
29,214610,12811,1861,000,2016
30,221326,13059,1825,000,2017
31,227194,12413,1864,000,2018
32,234537,15322,1919,000,2019
33,245341,16747,2681,000,2020
34,258990,19453,2295,000,2021
35,88608,3941,8511,,1987
36,93275,4259,8871,,1988
37,95709,4164,9008,,1989
38,98410,4556,9418,,1990
39,99806,4654,3956,,1991
40,100978,4816,3471,,1992
41,101711,4190,3494,,1993
42,106832,3546,1634,,1994
43,111409,3561,1564,,1995
44,117105,3806,1575,,1996
45,123274,4232,2088,,1997
46,132644,4344,2352,,1998
47,141147,4478,2024,,1999
48,149197,5726,1723,,2000
49,156682,5948,1982,,2001
50,159892,5707,2685,,2002
51,161546,5231,2804,,2003
52,167160,5021,2578,,2004
53,173753,6280,2511,,2005
54,185231,8137,2834,,2006
55,195240,9080,2824,,2007
56,204962,6873,2931,,2008
57,204861,4942,2650,,2009
58,208971,5532,2846,,2010
59,212369,6509,2538,,2011
60,217006,7001,1733,,2012
61,221195,7940,1340,,2013
62,226908,8427,1721,,2014
63,234332,10893,2183,,2015
64,242719,10041,1954,,2016
65,250325,11116,1933,,2017
66,260206,10924,2084,,2018
67,269686,14194,2029,,2019
68,282199,14943,2673,,2020
69,299237,19294,2694,,2021
70,115734,5827,10808,,1987
71,120831,6264,11527,,1988
72,123152,6333,12279,,1989
73,125615,6789,13032,,1990
74,126924,7190,5975,,1991
75,127728,7659,4957,,1992
76,127317,7087,5102,,1993
77,133713,6867,2180,,1994
78,138593,6729,2110,,1995
79,143755,7467,1867,,1996
80,149819,8759,2790,,1997
81,157533,9197,2775,,1998
82,165196,9097,2263,,1999
83,173554,12412,1898,,2000
84,181914,11849,2299,,2001
85,185206,9672,2848,,2002
86,186040,9392,2905,,2003
87,191369,9238,2703,,2004
88,199402,12916,2569,,2005
89,207083,16358,2500,,2006
90,215364,20248,2855,,2007
91,221920,14295,3162,,2008
92,220380,9504,2594,,2009
93,226739,12820,3274,,2010
94,227696,13351,2970,,2011
95,231742,14190,2020,,2012
96,235152,14334,2674,,2013
97,239820,17821,2334,,2014
98,247139,25345,7294,,2015
99,252614,20186,2712,,2016
100,258054,19351,2427,,2017
101,264153,19658,2208,,2018
102,274014,26094,2411,,2019
103,284793,25569,3032,,2020
104,301131,34637,3105,,2021
105,124739,6474,10120,,1987
106,130621,6965,10885,,1988
107,133373,7069,11519,,1989
108,136486,7793,13683,,1990
109,138226,8304,6998,,1991
110,139814,9019,6346,,1992
111,140194,8117,6511,,1993
112,148134,6004,2713,,1994
113,154748,8548,2543,,1995
114,160790,9362,2204,,1996
115,167729,13379,3098,,1997
116,177031,12278,3186,,1998
117,186047,12952,2760,,1999
118,195425,17737,2443,,2000
119,203108,16030,2978,,2001
120,206889,16958,3430,,2002
121,207266,13628,3416,,2003
122,212560,14365,3276,,2004
123,221054,17576,3170,,2005
124,228248,22514,2870,,2006
125,236047,27876,3343,,2007
126,240023,17197,3545,,2008
127,234283,12731,2876,,2009
128,244465,18389,3264,,2010
129,244696,16351,3359,,2011
130,248589,19538,2466,,2012
131,251871,21991,1924,,2013
132,256170,23555,1922,,2014
133,262191,27338,2763,,2015
134,266485,27636,2148,,2016
135,270829,29545,2050,,2017
136,276273,27650,2095,,2018
137,283278,35968,2262,,2019
138,297119,35406,3089,,2020
139,310329,42572,2788,,2021
140,78215,3834,4878,,1987
141,80248,4195,5013,,1988
142,83230,4087,5560,,1989
143,86170,4211,5816,,1990
144,86331,3890,6599,,1991
145,87205,3775,5130,,1992
146,85910,3948,5770,,1993
147,94810,3541,1532,,1994
148,97686,3519,1800,,1995
149,99914,3970,1617,,1996
150,103078,3816,2341,,1997
151,106920,4075,2632,,1998
152,111638,3850,2115,,1999
153,116899,4514,1864,,2000
154,121542,4625,2143,,2001
155,122781,4133,2706,,2002
156,123625,3988,2833,,2003
157,127621,4031,2308,,2004
158,131241,5020,2227,,2005
159,138971,5220,2252,,2006
160,141438,7182,2345,,2007
161,144277,6437,2628,,2008
162,141561,4246,1904,,2009
163,144720,5943,1831,,2010
164,146673,4952,2155,,2011
165,149554,5210,1422,,2012
166,148028,5376,1424,,2013
167,148890,6237,1645,,2014
168,152348,7135,1753,,2015
169,157214,7616,1689,,2016
170,163154,7757,1803,,2017
171,165277,6634,2047,,2018
172,173379,7146,2187,,2019
173,177145,8260,2750,,2020
174,184447,9956,2231,,2021
175,119365,3836,5936,,1987
176,124675,4158,6315,,1988
177,128327,4191,6626,,1989
178,131906,4555,7246,,1990
179,134042,4721,4105,,1991
180,136185,4983,3648,,1992
181,136706,4768,4711,,1993
182,144309,4068,1551,,1994
183,150603,4615,1438,,1995
184,156766,5252,1115,,1996
185,163857,6056,1606,,1997
186,172328,6215,1938,,1998
187,180363,6251,1480,,1999
188,188565,8081,1031,,2000
189,196533,7655,1500,,2001
190,199457,7101,1995,,2002
191,199765,7132,2132,,2003
192,204127,7269,1980,,2004
193,209959,9383,1825,,2005
194,217409,11474,1912,,2006
195,224909,16544,2183,,2007
196,228339,12019,2043,,2008
197,222864,8747,1728,,2009
198,227335,9263,1908,,2010
199,227813,9505,1884,,2011
200,230701,9866,1523,,2012
201,231855,9714,1332,,2013
202,234766,12406,1569,,2014
203,239785,12921,2537,,2015
204,244887,12935,1903,,2016
205,251194,13266,1617,,2017
206,257426,12781,1768,,2018
207,263818,16029,1870,,2019
208,277673,17583,2511,,2020
209,288987,19577,2099,,2021
210,85433,4461,5264,,1987
211,89423,4729,5790,,1988
212,92444,4813,6334,,1989
213,95059,5188,6715,,1990
214,97216,4919,2723,,1991
215,98950,4757,2509,,1992
216,99241,4551,2715,,1993
217,105171,4099,1196,,1994
218,110421,4091,1207,,1995
219,114666,4265,942,,1996
220,120184,4515,1560,,1997
221,125921,4926,1796,,1998
222,131613,4812,1312,,1999
223,138567,5448,1002,,2000
224,144538,5630,1286,,2001
225,147776,5043,1803,,2002
226,149118,5006,1934,,2003
227,154112,4875,1833,,2004
228,160264,5938,1786,,2005
229,168198,7617,1791,,2006
230,174817,10796,1797,,2007
231,177074,7278,1849,,2008
232,173427,5247,1707,,2009
233,174535,6031,1810,,2010
234,175322,5253,1795,,2011
235,177317,6121,1424,,2012
236,179347,6380,1337,,2013
237,181211,6786,1464,,2014
238,184313,8371,1645,,2015
239,187753,7710,1660,,2016
240,192896,7555,1699,,2017
241,197612,6756,1775,,2018
242,203762,7883,1811,,2019
243,214531,8480,2715,,2020
244,226398,10237,2120,,2021
245,82448,3768,5684,,1987
246,86789,4111,5948,,1988
247,89634,4122,6234,,1989
